nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category
D'BOTANICA BANDUNG MALL,JL. DR. DJUNJUNAN NO.143-149,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
TOFFIN WEST JAVA,JL. PAJAJARAN NO.68C,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
EASTERN,"ISTANA PLAZA LANTAI GF BLOK B5-B6, JL. PASIR KALIKI NO.121-123",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
WARUNK GOLAY,3HXV+WQW,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
OPPA YA! BAR,"JL. DR. DJUNJUNAN, JL. PASTEUR JL. PASIR KALIKI NO. 185-189",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
ASIAN GRILL,JL. PASIR KALIKI NO.121-123,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
JAWARA GOFOOD,"3HVV+6FJ, JL. PAJAJARAN",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
BUBUR AYAM OM DJYM,JL. SANGKUNING,cicendo,4.9,Rp 15.000 - 50.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SOUP'N SOUP,JL. PASIR KALIKI NO.121-123,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
TACO CHA CHA CHA,JL. PANDU DALAM I NO.47,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
FOODIES TASTE,JL. TR. DURSASANA NO.49,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
NOBU RAMEN & SUSHI JL. PANDU NO 53,JL. PANDU NO.53,cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
GOKANA,JL. PASIR KALIKI NO.121-123,cicendo,4.3,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
RAJA SUNDA,JL. DR. DJUNJUNAN NO.63,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
IMPERIAL KITCHEN & DIMSUM - D'BOTANICA BANDUNG,"D’BOTANICA BANDUNG, JL. DR. DJUNJUNAN DALAM NO.143-149",cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
KITCHEN SOUP D'BOTANICA MALL,"JL. DR. DJUNDJUNAN. 143-149 PAJAJARAN. KEC. CICENDO ( KITCHEN
  SOUP LT FF F4.12",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DSANGUAN,GG. HARAHAP NO.4,cicendo,3.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Low (≤3.5)
NOGUTEN JAPANESE TEMPURA,4H4M+QW8,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SEDIA ANEKA MASAKAN,"3HXQ+F7G, JL. CITEPUS II",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
X FOOD BANDUNG,"JL. CITEPUS II NO.28, RT.09/RW.06",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DE TOAST COFFEE BAR,JL. DR. DJUNJUNAN NO.153,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
HOKBEN - D'BOTANICA,"BTC FASHION MALL LANTAI FF1 F4 NO. 1, JL. DR. DJUNJUNAN NO.143",cicendo,4.3,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
OISHII RAMEN PASTEUR,JL. CIPEDES HILIR NO.43,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
NAYA CHINESE FOOD & SNAKE DISHES,JL. DR. DJUNJUNAN NO.109,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SAUNG SEBLAK RENDOZ TEH GINA,"JL. CITEPUS II NO.1, RT.06/RW.06",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
LUXURY,"BTC FASHION MALL, JL. DR. DJUNJUNAN NO.143-149 LANTAI 1",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
PIZZA HUT • PADJAJARAN,JL. PAJAJARAN NO.114,cicendo,4.9,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
GORENGAN MANG AJA,"4H2Q+7F9, JL. CITEPUS III",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
YAKITORI ODA JAPANESE KITCHEN,"JL. PAJAJARAN DALAM NO.148, HUSEN SASTRANEGARA, KEC. CICENDO
  CRITICAL 11",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DISINI COFFEE,JL. ABDUL RAHMAN SALEH NO.62A,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DE CAFFEE,"3HWH+G2P, JL. BANDARA HUSEIN SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0)
CANVASS COFFEE LOUNGE,JL. ARUNA NO.7,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
CHOW TIME CAFE MALAYSIAN EXPRESS,"3HWH+8PX, JALAN PAJAJARAN, GEDUNG BERANDA PASUNDAN HUSEIN
  SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0)
TAKECOFF RESTO,CICENDO HUSEIN SASTRANEGARA,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
GOT BEEF BURGER,JL. PAJAJARAN JL. PAJAJARAN DALAM NO.148,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
TANA JAVA,"3HWH+GHX, JL. BANDARA HUSEIN SASTRANEGARA",cicendo,3.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0)
EATZ CAFE,"3HWH+8PQ, JALAN PAJAJARAN, GEDUNG BERANDA PASUNDAN, BANDARA
  HUSEIN SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0)
SATE SUKAWARNA,"JL. SUKAWARNA NO.15, RW.1",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
HAUTOPIA COFFEE,JL. PAJAJARAN NO.148,cicendo,4.1,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
SUPADIO MOTOR,JL. KOMODOR UDARA SUPADIO NO.49 A,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
MONSOON CAFE,"BTC FASHION MALL, GF - J00, JL. DR. DJUNJUNAN DALAM NO.
  143-149",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
0.1 COFFEE EATERY,JL. DR. DJUNJUNAN NO.125,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
CAFE 2 TANG,"JALAN DR DJUNJUNAN NO 143, BTC FASHION MALL & HOTEL LANTAI
  FF BLOK 17-18A, PAJAJARAN, CICENDO",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
INI TEH?,JL. BALADEWA NO.79,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
NOMNOM,JL. ARJUNA NO.46,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
GOLDEN DRAGON RESTAURANT,"CEMERLANG HOTEL, JL. HOS. COKROAMINOTO JL. PASIR KALIKI NO.45",cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
SEMAR PANDAWA FRIED CHICKEN,JL. PANDAWA NO.5B,cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
RAMA DELAPAN,JL. RAMA NO.8,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
SUKIGAO 23 PASKAL,"UNIT 20, JL. PASIR KALIKI NO.3 NO.25-27 LANTAI",cicendo,1.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Low (≤3.5)
TASTE OF INDIA,JL. PASIR KALIKI NO.44,cicendo,3.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Low (≤3.5)
23 PASKAL HYPER SQUARE,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
RANTANG SUSUN,JL. PENDAWA NO.62,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
"SUGE ""SRT"" PANDAWA STATION",JL. PANDAWA NO.2,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
LOOP DAILY (PREVIOUSLY LOOP DESSERTS),JL. ARJUNA NO.46,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
KUDEKA,JL. SINTA NO.35,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
BLOOMANGE CAFE,JL. BIMA,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
MIE AKIM,JL. RAMA NO.20,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
YABE! IZAKAYA,JL. PASIR KALIKI NO.23,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SUIS BUTCHER STEAK HOUSE 23 PASKAL,"PASKAL HYPER SQUARE, LANTAI 2, JL. PASIR KALIKI",cicendo,4.1,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
MARBLE HOT STONE GRILLED STEAK,"PASKAL HYPER SQUARE, RUKO, JL. ARJUNA NO.27 BLOK C",cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
BANG BANG KITCHEN & SOJU BAR,"PASKAL HYPER SQUARE, PASKAL HYPER SQUARE D37-D38, JL. PASIR
  KALIKI NO.23",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SNACK.ID,"S, JALAN BIMA UTARA GG. VI NO.30, RT.06/RW.02",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DIPLO COFFEE WORKSHOP,JL. BIMA GG. SALEH NO.230,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
DOICE,JL. PAJAJARAN NO.101,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
RUMAH MAKAN MA' UNEH ASLI,JL. PAJAJARAN NO.132,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
SHAWARMA KEBAB HASAN,"JL. INDUSTRI NO.26/70, RT.12/RW.08",cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
KEDAI WANMIN,JL. SEMAR NO.30,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
FRESCO BANDUNG,"FRESCO BANDUNG, JL. HOS. COKROAMINOTO NO.41-43",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
KATEL ORIENTAL RESTO,JL. RAMA NO.32,cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
THAI PALACE FUSION,JL. PAJAJARAN NO.113,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
PURNAWARMAN RESTAURANT,"LOBBY LEVEL, JL. HOS. COKROAMINOTO NO.41-43",cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
DRAGON HOT POT BANDUNG,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.23",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
RIJSTTAFEL RESTO,JL. PASIR KALIKI NO.67,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
RESTORAN SEDERHANA SA PASIR KALIKI,JL. PASIR KALIKI NO.73,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
KATSUKAGE - SEMAR,JL. SEMAR NO.23,cicendo,4.3,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
BURGEL.ID,JL. PAJAJARAN,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5)
KRENCHISE HOT SPICY,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Medium (3.5-4.0)
BURGER PONDOK,JL. EMBAH JAKSA NO.15,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,High (4.0-4.5)
BAGEUR BURGER,JL. TERUSAN CIPADUNG,cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
ALIBABA SUKI & GRILL,JL. DESA CIPADUNG NO.49,cibiru,4.6,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
'EAT AND I' CORNDOGS CORNER,JL. CIGAGAK NO.96,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
LIES RESTO,JL. DESA CIPADUNG NO.232,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,High (4.0-4.5)
OD-HURR CAFE AND RESTO,JL. DESA CIPADUNG NO.12,cibiru,4.9,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
SATE ADDICT,JL. TERUSAN SALUYU NO.42,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
FOOD BACKGROUND,JL. DAMIN II NO.53,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
KAY CATERING BANDUNG,3PWC+C7W,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
AYAM GEPREK CHICKEN DINNER FOOD,JL. CILENGKRANG 1 NO.128,cibiru,3.7,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Medium (3.5-4.0)
COΥNТER ЅEВLAĸ ТEН ΙNA,JL. CILENGKRANG 1 NO.23,cibiru,4.3,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,High (4.0-4.5)
DIARY'S KITCHEN,JL. CIBIRU TONGGOH NO.21,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
BMB BURGER BANDUNG,"PASKAL HYPER SQUARE, THE TRIPARK",andir,4.6,Rp 100.000 - 200.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
THE WINDCHIME,"JL. ARJUNA 63A, RW.01",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
SEJAHTERA RESTO,JL. CIKUTRA NO.212,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
CORNDOG FIMS_ID,GG. BINAAN II NO.5,cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,High (4.0-4.5)
KHAYANGAN ASIAN FUSION FOOD,JALAN VILLA ASRI TENGAH V C 33,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
"W FIMS_ID,NEGLASARI UTARA",GG. BINAAN II NO.5,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
BENTO KOPI CIKUTRA,GG. SEKEJATI 9 NO.74,cibeunying kaler,4.3,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.0484178421654597,34.0,31.0,High (4.0-4.5)
BURGER MONJOE,JL. BOJONG KONENG NO.17A,cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
PANCAKE DURIAN KUY,4J4W+745,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
INA COOKIES,JL. BOJONG KONENG ATAS NO.8,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
BEBZ BAR AND GRILL,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Medium (3.5-4.0)
CATERING MURAH BANDUNG,JL. KUSUMA NUSANTARA I NO.5,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
KEDAI POJOK CITARASA - KANTIN HALAL UIN BANDUNG,UNIVERSITAS ISLAM NEGERI,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
DIMSUM 2711,JL. DESA CIPADUNG NO.121,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Medium (3.5-4.0)
SUSHI JANDA,JL. A.H. NASUTION NO.115,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,High (4.0-4.5)
JAWA FOOD 968 LESEHAN KHAS JOGYAKARTA,"JL.TERUSAN PANYILEUKAN, GG. DARUSSALAM BPR 2 NO.31",cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
ARABIAN KEBAB CIPADUNG,JL. DESA CIPADUNG NO.232,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
AHSAN CHICKEN CRISPY,JL. EMBAH JAKSA NO.233,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.0484178421654597,7.0,8.0,Very High (4.5-5.0)
PIZZA & BURGER ANANDA,JL. PADASUKA NO.127-129,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
OHAYOO,JL. A. YANI,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
"NU'IKI - EAT, DRINK, BE CREATIVE","3JPP+MFV, JL. KEBONWARU SELATAN",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
THE IS CATERING,JL. WIRANTA NO.35,cibeunying kidul,4.2,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,High (4.0-4.5)
CONTRAST COFFEE & ROASTERY,JL. CISADEA NO.26,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
AWUG CIBEUNYING,JL. A. YANI NO.361,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
LAOBAN BY UNCLE OSH KATAMSO,JL. BRIGADIR JEND. KATAMSO NO.25,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
DILLA'S CATERING,"JL.PHH MUSTOPHA, GG. NEGLASARI UTARA GG. BINAAN III NO.17",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
COKOSOD.ID,RUKO SURAPATI CORE K17 LANTAI 1,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
MANTES.ID RUMAH JAJAN,KOMPLEK DU F23,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Medium (3.5-4.0)
KEDAI NDUL,JL. VILLA ASRI NO.3,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
NYABA COFFEE & CHIT-CHAT,JL. UTAMA 1 NO.45-46,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
COFFEE UNIVERSITY,JL. CIKUTRA NO.204A,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
WARUNG KOPI DAN INDOMIE,"GG. PELITA I NO.11, RT.3/RW.2",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
MOI KITCHEN BANDUNG,4J5X+4FH,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
BARINGIN BARU,JL. CIKUTRA NO.130,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Medium (3.5-4.0)
RESTO 9,"APARTEMEN GATEWAY CICADAS BLOK SAFIRE A NO 9 LANTAI G, KEL",cibeunying kidul,2.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Low (≤3.5)
ORANJE CAFE,"APARTEMENT GATEWAY, JL. A. YANI BLOK GF A NO.16",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
KEDAI SATE MARANGGI PRIYANGAN.,JL. KHP HASAN MUSTOPA NO.139,cibeunying kidul,4.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,High (4.0-4.5)
EATMORE BURGER,JL. A. YANI NO.782,kiaracondong,4.8,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0)
YUMM DIMSUM,GG. IRIT NO.4,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
WARUNG NASI DAN LOTEK IBU IHAT JL. UTAMA NO 65,"4M24+3MC, UNNAMED ROAD",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
RUMAH MAKAN BU ELLEN,"SURAPATI CORE, JL. KHP HASAN MUSTOPA BLOK K NO.16",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
FRIEND CHICKEN PASIR LEUTIK,JL. ASRI NO.15,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Medium (3.5-4.0)
BURGER PHK,JL. PADASUKA NO.50,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
MAKAN-IN!,"KOMPLEKS BUMI ASRI, JL. TUGU ASRI NO.A5",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
PESTA PIZZA (BANDUNG ERA SENTRA TALENTA. PT),"JL. PENGHULU HAJI HASAN MUSTOPA NO.39, GRAND SURAPATI CORE,
  GRAHA DFI, 2ND FLOOR",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.0484178421654597,17.0,16.0,Very High (4.5-5.0)
