kecamatan,nama_taman,luas,type
BANDUNG KIDUL,TAMAN GADING 2,621,city_park
BANDUNG KIDUL,TAMAN 4,617,city_park
BANDUNG KIDUL,TAMAN GADING 8,595,city_park
BANDUNG KIDUL,TAMAN SANGGAR HURIP 3,565,city_park
BANDUNG KIDUL,TAMAN BATU PERMATA,530,city_park
BANDUNG KIDUL,TAMAN SANGGAR HURIP 6,480,city_park
BANDUNG KIDUL,TAMAN SANGGAR HURIP 2,452,city_park
BANDUNG KIDUL,TAMAN GADING 4,436,city_park
BANDUNG KIDUL,TAMAN GADING 1,416,city_park
BANDUNG KIDUL,TAMAN GADING 11,376,city_park
BANDUNG KIDUL,TAMAN SANGGAR HURIP 1,330,city_park
BANDUNG KIDUL,TAMAN GADING 5,235,city_park
BANDUNG KIDUL,TAMAN GADING 6,214,city_park
BANDUNG KIDUL,PULAU JALAN SAMSAT,124,city_park
BANDUNG KIDUL,TAMAN PANDAN WANGI,70,city_park
BANDUNG KIDUL,TAMAN H. BARDAN,32,city_park
BANDUNG KIDUL,TAMAN GADING 12,25,city_park
BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIJERAH I,4794,city_park
BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIBUNTU,1370,city_park
BANDUNG KULON,TAMAN LINGKUNGAN PERUMAHAN SADANG,545.23,city_park
BANDUNG KULON,TAMAN RW.04 KEL. CARINGIN,210,city_park
BANDUNG KULON,TAMAN RW.05 KEL. CARINGIN,170,city_park
BANDUNG WETAN,STADION SILIWANGI,60576.87,city_park
BANDUNG WETAN,TAMAN LALU LINTAS,45600.87,city_park
BANDUNG WETAN,GOR SAPARUA,44300,city_park
BANDUNG WETAN,LAPANG GASIBU,25962,city_park
BANDUNG WETAN,TAMAN CILAKI ATAS,16620,city_park
BANDUNG WETAN,TAMAN GEDUNG SATE,16605,city_park
BANDUNG WETAN,TAMAN KODYA,13965.89,city_park
BANDUNG WETAN,TAMAN PRAMUKA,13845.34,city_park
BANDUNG WETAN,TAMAN CILAKI BAWAH I DAN II,9753,city_park
BANDUNG WETAN,TAMAN SERAM,9511.23,city_park
BANDUNG WETAN,LAPANG SUPRATMAN,9072.75,city_park
BANDUNG WETAN,TAMAN CILAKI TENGAH,6487,city_park
BANDUNG WETAN,JALUR PRABUDIMUNTUR/SURAPATI,3600,city_park
BANDUNG WETAN,TAMAN PKK,2893.7,city_park
BANDUNG WETAN,TAMAN MANGGA,2850,city_park
BANDUNG WETAN,TAMAN CIUNGWANARA,1943,city_park
BANDUNG WETAN,JALUR HIJAU CIKAPAYANG,1800,city_park
BANDUNG WETAN,TAMAN CEMPAKA (TAMAN FOTOGRAFI),1785,city_park
BANDUNG WETAN,TAMAN LAPANG SALAM,1685,city_park
BANDUNG WETAN,TAMAN PASUPATI,1539,city_park
BANDUNG WETAN,TAMAN DR. SLAMET,1521.7,city_park
BANDUNG WETAN,TAMAN ANGGREK/BENGAWAN (TAMAN SUPER HERO),1425,city_park
BANDUNG WETAN,TAMAN GEMPOL,1245.5,city_park
BANDUNG WETAN,TAMAN CITARUM,1102.67,city_park
BANDUNG WETAN,JALUR HIJAU JALAN CILIWUNG,936,city_park
BANDUNG WETAN,TAMAN RANGGA MALELA,920.9,city_park
BANDUNG WETAN,TAMAN WIRA ANGUN-ANGUN,918,city_park
BANDUNG WETAN,JALUR HIJAU TAMANSARI,908.1,city_park
BANDUNG WETAN,TAMAN CILAKI,893.5,city_park
BANDUNG WETAN,TAMAN TRUNOJOYO,850.56,city_park
