nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date,success_category,composite_score
SAUNG SEBLAK RENDOZ TEH GINA,"JL. CITEPUS II NO.1, RT.06/RW.06",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,298,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6388564231738034
LUXURY,"BTC FASHION MALL, JL. DR. DJUNJUNAN NO.143-149 LANTAI 1",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,562,8,2.0,enriched_v1.0,2025-07-09,Low,0.6118362720403022
PIZZA HUT • PADJAJARAN,JL. PAJAJARAN NO.114,cicendo,4.9,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Fast Food,61,4,2.0,enriched_v1.0,2025-07-09,High,0.6841926952141058
GORENGAN MANG AJA,"4H2Q+7F9, JL. CITEPUS III",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,20,8,2.0,enriched_v1.0,2025-07-09,High,0.7004534005037782
YAKITORI ODA JAPANESE KITCHEN,"JL. PAJAJARAN DALAM NO.148, HUSEN SASTRANEGARA, KEC. CICENDO
  CRITICAL 11",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Japanese Food,83,5,2.0,enriched_v1.0,2025-07-09,High,0.7023576826196473
DISINI COFFEE,JL. ABDUL RAHMAN SALEH NO.62A,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Cafe,14,1,2.0,enriched_v1.0,2025-07-09,High,0.700272040302267
DE CAFFEE,"3HWH+G2P, JL. BANDARA HUSEIN SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0),Restaurant,3596,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6335440806045339
CANVASS COFFEE LOUNGE,JL. ARUNA NO.7,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Cafe,110,1,2.0,enriched_v1.0,2025-07-09,High,0.6681738035264483
CHOW TIME CAFE MALAYSIAN EXPRESS,"3HWH+8PX, JALAN PAJAJARAN, GEDUNG BERANDA PASUNDAN HUSEIN
  SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0),Cafe,361,1,2.0,enriched_v1.0,2025-07-09,Low,0.5357607052896725
TAKECOFF RESTO,CICENDO HUSEIN SASTRANEGARA,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,64,8,2.0,enriched_v1.0,2025-07-09,High,0.6667833753148614
GOT BEEF BURGER,JL. PAJAJARAN JL. PAJAJARAN DALAM NO.148,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Fast Food,116,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6333551637279596
TANA JAVA,"3HWH+GHX, JL. BANDARA HUSEIN SASTRANEGARA",cicendo,3.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0),Restaurant,6264,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6441889168765742
EATZ CAFE,"3HWH+8PQ, JALAN PAJAJARAN, GEDUNG BERANDA PASUNDAN, BANDARA
  HUSEIN SASTRANEGARA",cicendo,4.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Medium (3.5-4.0),Cafe,4791,1,2.0,enriched_v1.0,2025-07-09,High,0.6696649874055415
SATE SUKAWARNA,"JL. SUKAWARNA NO.15, RW.1",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,1520,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6569676933058545
HAUTOPIA COFFEE,JL. PAJAJARAN NO.148,cicendo,4.1,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Cafe,190,1,2.0,enriched_v1.0,2025-07-09,Low,0.5480919395465994
SUPADIO MOTOR,JL. KOMODOR UDARA SUPADIO NO.49 A,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,3071,8,2.0,enriched_v1.0,2025-07-09,High,0.6876750629722922
MONSOON CAFE,"BTC FASHION MALL, GF - J00, JL. DR. DJUNJUNAN DALAM NO.
  143-149",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Cafe,3570,1,2.0,enriched_v1.0,2025-07-09,High,0.7027581863979848
0.1 COFFEE EATERY,JL. DR. DJUNJUNAN NO.125,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Cafe,90,1,2.0,enriched_v1.0,2025-07-09,High,0.6675692695214105
CAFE 2 TANG,"JALAN DR DJUNJUNAN NO 143, BTC FASHION MALL & HOTEL LANTAI
  FF BLOK 17-18A, PAJAJARAN, CICENDO",cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Cafe,522,1,2.0,enriched_v1.0,2025-07-09,Medium,0.626801446454469
INI TEH?,JL. BALADEWA NO.79,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,86,8,2.0,enriched_v1.0,2025-07-09,High,0.702448362720403
NOMNOM,JL. ARJUNA NO.46,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,173,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6525780856423173
GOLDEN DRAGON RESTAURANT,"CEMERLANG HOTEL, JL. HOS. COKROAMINOTO JL. PASIR KALIKI NO.45",cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,675,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6327518891687657
SEMAR PANDAWA FRIED CHICKEN,JL. PANDAWA NO.5B,cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Fast Food,158,4,2.0,enriched_v1.0,2025-07-09,Low,0.617124685138539
RAMA DELAPAN,JL. RAMA NO.8,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,416,8,2.0,enriched_v1.0,2025-07-09,Low,0.6074231738035264
SUKIGAO 23 PASKAL,"UNIT 20, JL. PASIR KALIKI NO.3 NO.25-27 LANTAI",cicendo,1.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Low (≤3.5),Restaurant,74,8,2.0,enriched_v1.0,2025-07-09,Low,0.0020856423173803
TASTE OF INDIA,JL. PASIR KALIKI NO.44,cicendo,3.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Low (≤3.5),Restaurant,1280,8,2.0,enriched_v1.0,2025-07-09,Low,0.4760390428211586
23 PASKAL HYPER SQUARE,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,278,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6382518891687656
RANTANG SUSUN,JL. PENDAWA NO.62,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,68,8,2.0,enriched_v1.0,2025-07-09,High,0.701904282115869
"SUGE ""SRT"" PANDAWA STATION",JL. PANDAWA NO.2,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,252,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6374659949622166
LOOP DAILY (PREVIOUSLY LOOP DESSERTS),JL. ARJUNA NO.46,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,83,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6498576826196473
KUDEKA,JL. SINTA NO.35,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,190,8,2.0,enriched_v1.0,2025-07-09,High,0.6705919395465995
BLOOMANGE CAFE,JL. BIMA,cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Cafe,82,1,2.0,enriched_v1.0,2025-07-09,High,0.7023274559193954
MIE AKIM,JL. RAMA NO.20,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,148,8,2.0,enriched_v1.0,2025-07-09,High,0.6693224181360201
YABE! IZAKAYA,JL. PASIR KALIKI NO.23,cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,225,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6541498740554156
SUIS BUTCHER STEAK HOUSE 23 PASKAL,"PASKAL HYPER SQUARE, LANTAI 2, JL. PASIR KALIKI",cicendo,4.1,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Western Food,210,10,2.0,enriched_v1.0,2025-07-09,Low,0.5486964735516372
MARBLE HOT STONE GRILLED STEAK,"PASKAL HYPER SQUARE, RUKO, JL. ARJUNA NO.27 BLOK C",cicendo,4.7,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Western Food,80,10,2.0,enriched_v1.0,2025-07-09,Medium,0.6497670025188916
BANG BANG KITCHEN & SOJU BAR,"PASKAL HYPER SQUARE, PASKAL HYPER SQUARE D37-D38, JL. PASIR
  KALIKI NO.23",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,90,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6325692695214105
SNACK.ID,"S, JALAN BIMA UTARA GG. VI NO.30, RT.06/RW.02",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,130,8,2.0,enriched_v1.0,2025-07-09,High,0.7037783375314861
DIPLO COFFEE WORKSHOP,JL. BIMA GG. SALEH NO.230,cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Cafe,91,1,2.0,enriched_v1.0,2025-07-09,High,0.6675994962216624
DOICE,JL. PAJAJARAN NO.101,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,3073,8,2.0,enriched_v1.0,2025-07-09,High,0.7039097587970383
RUMAH MAKAN MA' UNEH ASLI,JL. PAJAJARAN NO.132,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Local Food,483,7,2.0,enriched_v1.0,2025-07-09,Low,0.609448362720403
SHAWARMA KEBAB HASAN,"JL. INDUSTRI NO.26/70, RT.12/RW.08",cicendo,4.8,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,105,8,2.0,enriched_v1.0,2025-07-09,High,0.6680226700251889
KEDAI WANMIN,JL. SEMAR NO.30,cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,255,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6375566750629722
FRESCO BANDUNG,"FRESCO BANDUNG, JL. HOS. COKROAMINOTO NO.41-43",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,593,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6477732997481107
KATEL ORIENTAL RESTO,JL. RAMA NO.32,cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,319,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6219911838790931
THAI PALACE FUSION,JL. PAJAJARAN NO.113,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,3930,8,2.0,enriched_v1.0,2025-07-09,High,0.713639798488665
PURNAWARMAN RESTAURANT,"LOBBY LEVEL, JL. HOS. COKROAMINOTO NO.41-43",cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,681,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6329332493702771
DRAGON HOT POT BANDUNG,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.23",cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,3340,8,2.0,enriched_v1.0,2025-07-09,High,0.6958060453400503
RIJSTTAFEL RESTO,JL. PASIR KALIKI NO.67,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,1484,8,2.0,enriched_v1.0,2025-07-09,Medium,0.639705289672544
RESTORAN SEDERHANA SA PASIR KALIKI,JL. PASIR KALIKI NO.73,cicendo,4.4,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,104,8,2.0,enriched_v1.0,2025-07-09,Low,0.597992443324937
KATSUKAGE - SEMAR,JL. SEMAR NO.23,cicendo,4.3,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,416,8,2.0,enriched_v1.0,2025-07-09,Low,0.5899231738035263
BURGEL.ID,JL. PAJAJARAN,cicendo,4.492424242424242,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,502,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6261969124494312
KRENCHISE HOT SPICY,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Restaurant,4540,8,2.0,enriched_v1.0,2025-07-09,High,0.6620780856423173
BURGER PONDOK,JL. EMBAH JAKSA NO.15,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Fast Food,559,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6292455919395465
BAGEUR BURGER,JL. TERUSAN CIPADUNG,cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Fast Food,92,4,2.0,enriched_v1.0,2025-07-09,High,0.6676297229219142
ALIBABA SUKI & GRILL,JL. DESA CIPADUNG NO.49,cibiru,4.6,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Western Food,157,10,2.0,enriched_v1.0,2025-07-09,Medium,0.6345944584382871
'EAT AND I' CORNDOGS CORNER,JL. CIGAGAK NO.96,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,11,8,2.0,enriched_v1.0,2025-07-09,High,0.7001813602015113
LIES RESTO,JL. DESA CIPADUNG NO.232,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Restaurant,164,8,2.0,enriched_v1.0,2025-07-09,Low,0.6173060453400503
OD-HURR CAFE AND RESTO,JL. DESA CIPADUNG NO.12,cibiru,4.9,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Cafe,141,1,2.0,enriched_v1.0,2025-07-09,High,0.6866108312342569
SATE ADDICT,JL. TERUSAN SALUYU NO.42,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,75,8,2.0,enriched_v1.0,2025-07-09,High,0.7021158690176322
FOOD BACKGROUND,JL. DAMIN II NO.53,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,99,8,2.0,enriched_v1.0,2025-07-09,High,0.7028413098236775
KAY CATERING BANDUNG,3PWC+C7W,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,49,8,2.0,enriched_v1.0,2025-07-09,High,0.7013299748110831
AYAM GEPREK CHICKEN DINNER FOOD,JL. CILENGKRANG 1 NO.128,cibiru,3.7,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Restaurant,2009,8,2.0,enriched_v1.0,2025-07-09,Low,0.5330743073047859
COΥNТER ЅEВLAĸ ТEН ΙNA,JL. CILENGKRANG 1 NO.23,cibiru,4.3,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Restaurant,964,8,2.0,enriched_v1.0,2025-07-09,Low,0.6064874055415617
DIARY'S KITCHEN,JL. CIBIRU TONGGOH NO.21,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,146,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6423388878124393
BMB BURGER BANDUNG,"PASKAL HYPER SQUARE, THE TRIPARK",andir,4.6,Rp 100.000 - 200.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Fast Food,186,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6354710327455918
THE WINDCHIME,"JL. ARJUNA 63A, RW.01",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,76,8,2.0,enriched_v1.0,2025-07-09,Medium,0.632146095717884
SEJAHTERA RESTO,JL. CIKUTRA NO.212,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,190,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6355919395465994
CORNDOG FIMS_ID,GG. BINAAN II NO.5,cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,270,8,2.0,enriched_v1.0,2025-07-09,Low,0.6030100755667506
KHAYANGAN ASIAN FUSION FOOD,JALAN VILLA ASRI TENGAH V C 33,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,125,8,2.0,enriched_v1.0,2025-07-09,High,0.7036272040302266
"W FIMS_ID,NEGLASARI UTARA",GG. BINAAN II NO.5,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,278,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6218655255324019
BENTO KOPI CIKUTRA,GG. SEKEJATI 9 NO.74,cibeunying kaler,4.3,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Cafe,528,1,2.0,enriched_v1.0,2025-07-09,Low,0.593308564231738
BURGER MONJOE,JL. BOJONG KONENG NO.17A,cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,140,4,2.0,enriched_v1.0,2025-07-09,High,0.669080604534005
PANCAKE DURIAN KUY,4J4W+745,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Bakery,141,0,2.0,enriched_v1.0,2025-07-09,High,0.7041108312342569
INA COOKIES,JL. BOJONG KONENG ATAS NO.8,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,127,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6336876574307304
BEBZ BAR AND GRILL,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Western Food,618,10,2.0,enriched_v1.0,2025-07-09,Low,0.543528967254408
CATERING MURAH BANDUNG,JL. KUSUMA NUSANTARA I NO.5,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,586,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6556386359232705
KEDAI POJOK CITARASA - KANTIN HALAL UIN BANDUNG,UNIVERSITAS ISLAM NEGERI,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,76,8,2.0,enriched_v1.0,2025-07-09,High,0.7021460957178841
DIMSUM 2711,JL. DESA CIPADUNG NO.121,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Chinese Food,507,2,2.0,enriched_v1.0,2025-07-09,Low,0.5401738035264483
SUSHI JANDA,JL. A.H. NASUTION NO.115,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Japanese Food,68,5,2.0,enriched_v1.0,2025-07-09,Low,0.614404282115869
JAWA FOOD 968 LESEHAN KHAS JOGYAKARTA,"JL.TERUSAN PANYILEUKAN, GG. DARUSSALAM BPR 2 NO.31",cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,16,8,2.0,enriched_v1.0,2025-07-09,High,0.6653324937027707
ARABIAN KEBAB CIPADUNG,JL. DESA CIPADUNG NO.232,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,184,8,2.0,enriched_v1.0,2025-07-09,High,0.7054105793450881
AHSAN CHICKEN CRISPY,JL. EMBAH JAKSA NO.233,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,38,8,2.0,enriched_v1.0,2025-07-09,High,0.7009974811083123
PIZZA & BURGER ANANDA,JL. PADASUKA NO.127-129,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,204,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6535151133501259
OHAYOO,JL. A. YANI,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,233,8,2.0,enriched_v1.0,2025-07-09,Medium,0.620505324021067
"NU'IKI - EAT, DRINK, BE CREATIVE","3JPP+MFV, JL. KEBONWARU SELATAN",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,54,8,2.0,enriched_v1.0,2025-07-09,High,0.7014811083123426
THE IS CATERING,JL. WIRANTA NO.35,cibeunying kidul,4.2,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,380,8,2.0,enriched_v1.0,2025-07-09,Low,0.5713350125944584
CONTRAST COFFEE & ROASTERY,JL. CISADEA NO.26,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,72,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6320251889168764
AWUG CIBEUNYING,JL. A. YANI NO.361,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,145,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6517317380352644
LAOBAN BY UNCLE OSH KATAMSO,JL. BRIGADIR JEND. KATAMSO NO.25,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,50,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6313602015113349
DILLA'S CATERING,"JL.PHH MUSTOPHA, GG. NEGLASARI UTARA GG. BINAAN III NO.17",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,24,8,2.0,enriched_v1.0,2025-07-09,High,0.7005743073047859
COKOSOD.ID,RUKO SURAPATI CORE K17 LANTAI 1,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,170,8,2.0,enriched_v1.0,2025-07-09,Low,0.6186010419051979
MANTES.ID RUMAH JAJAN,KOMPLEK DU F23,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,309,8,2.0,enriched_v1.0,2025-07-09,Low,0.4816889168765743
KEDAI NDUL,JL. VILLA ASRI NO.3,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,412,8,2.0,enriched_v1.0,2025-07-09,High,0.6598022670025189
NYABA COFFEE & CHIT-CHAT,JL. UTAMA 1 NO.45-46,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,33,1,2.0,enriched_v1.0,2025-07-09,High,0.7008463476070529
COFFEE UNIVERSITY,JL. CIKUTRA NO.204A,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,32,1,2.0,enriched_v1.0,2025-07-09,High,0.700816120906801
