nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date,success_category,composite_score
KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,65,8,2.0,enriched_v1.0,2025-07-09,High,0.7018136020151133
NATURAL TASTE,JL. SAPTA MARGA NO.72,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,144,8,2.0,enriched_v1.0,2025-07-09,High,0.7042015113350125
SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Restaurant,2500,8,2.0,enriched_v1.0,2025-07-09,High,0.6847156171284633
WARUNG & CAFE IBU NN,4H28+J98,andir,4.5,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Cafe,232,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6193614609571788
EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,105,8,2.0,enriched_v1.0,2025-07-09,Low,0.0030226700251889
RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,669,8,2.0,enriched_v1.0,2025-07-09,Low,0.0200705289672544
PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,350,0,2.0,enriched_v1.0,2025-07-09,Medium,0.6197282115869016
TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,504,0,2.0,enriched_v1.0,2025-07-09,Medium,0.6243831234256926
SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,andir,4.7,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,32,1,2.0,enriched_v1.0,2025-07-09,Medium,0.648316120906801
ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,153,8,2.0,enriched_v1.0,2025-07-09,High,0.6694735516372795
