nama,alamat,kecamatan,google_rating,price_range_rupiah,business_status,processed_at,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman
BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,4.7,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:23:16,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,3.9,,OPERATIONAL,2025-06-28 21:23:17,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG BAROKAH,JL. SUMBAWA NO.8,sumur bandung,4.0,,OPERATIONAL,2025-06-28 21:23:18,38323.0,3.49,10980.8,4.0,19.0,38.0
BASO TAHU & SIOMAY BAROKAH PAK ROJI,"3JP8+7XQ, JL. BALI",sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:23:19,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG NASI HIQMAH,JL. BALI NO.2,sumur bandung,3.8,,OPERATIONAL,2025-06-28 21:23:20,38323.0,3.49,10980.8,4.0,19.0,38.0
SOTO MIE BOGOR SADULUR LANANG,JL. GUDANG SELATAN NO.22,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:21,38323.0,3.49,10980.8,4.0,19.0,38.0
WARUNG MBAK YATI,JL. BANGKA,sumur bandung,4.4,,OPERATIONAL,2025-06-28 21:23:22,38323.0,3.49,10980.8,4.0,19.0,38.0
"SOTO KUDUS,GARANG ASEM,MANGUT BAROKAH",JL. GUDANG UTARA NO.1,sumur bandung,4.3,,OPERATIONAL,2025-06-28 21:23:23,38323.0,3.49,10980.8,4.0,19.0,38.0
SATE PADANG TUAH SAKATO (TAMAN MUSIK),JL. BELITUNG NO.10,sumur bandung,4.4,,OPERATIONAL,2025-06-28 21:23:24,38323.0,3.49,10980.8,4.0,19.0,38.0
RUMAH MAKAN SOTO BALI,JL. BALI NO.2,sumur bandung,4.6,,CLOSED_TEMPORARILY,2025-06-28 21:23:26,38323.0,3.49,10980.8,4.0,19.0,38.0
SATE MAS DADEUNG,JL. RAKATA NO.79,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:23:27,38323.0,3.49,10980.8,4.0,19.0,38.0
RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,3.9,,OPERATIONAL,2025-06-28 21:23:28,38323.0,3.49,10980.8,4.0,19.0,38.0
BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,3.9,,OPERATIONAL,2025-06-28 21:23:30,38323.0,3.49,10980.8,4.0,19.0,38.0
TON KEDAI,"KOMPLEK RUKO SEGITIGA MAS JL. A. YANI.221-223 BLOK E-12 &
  E-13",sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:23:31,38323.0,3.49,10980.8,4.0,19.0,38.0
KOREAN COMFORT FOOD,"3JMG+VC6, JL. GANDAPURA",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:32,38323.0,3.49,10980.8,4.0,19.0,38.0
NARENDANG,JL. KALIMANTAN NO.5,sumur bandung,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:33,38323.0,3.49,10980.8,4.0,19.0,38.0
PUSAT KULINER,"3JMH+X5P, JL. KEMUNING",sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:23:34,38323.0,3.49,10980.8,4.0,19.0,38.0
AREBEST CAFE&RESTO,JL. LOMBOK NO.10,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:35,38323.0,3.49,10980.8,4.0,19.0,38.0
TERAZ COZY,"3JQ8+3JC, JL. SUMBAWA",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:36,38323.0,3.49,10980.8,4.0,19.0,38.0
"BRUNCH CAFE, WAFFLES & COFFEE",JL. ANGGREK NO.34,sumur bandung,4.7,,CLOSED_PERMANENTLY,2025-06-28 21:23:37,38323.0,3.49,10980.8,4.0,19.0,38.0
NINETEN BURGER & BAR,JL. BANDA NO.3S,sumur bandung,4.6,,OPERATIONAL,2025-06-28 21:23:38,38323.0,3.49,10980.8,4.0,19.0,38.0
FARM TO TABLE,JL. CULAN NO.9,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:39,38323.0,3.49,10980.8,4.0,19.0,38.0
BIJAN RESTORAN NUSANTARA,JL. JAWA NO.54,sumur bandung,4.9,,OPERATIONAL,2025-06-28 21:23:40,38323.0,3.49,10980.8,4.0,19.0,38.0
PAGI SORE BANDUNG,JL. SUMATERA NO.31,sumur bandung,4.1,,OPERATIONAL,2025-06-28 21:23:41,38323.0,3.49,10980.8,4.0,19.0,38.0
NASI TIMBEL BAWEAN,JL. BAWEAN NO.3,sumur bandung,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:23:42,38323.0,3.49,10980.8,4.0,19.0,38.0
BAWEAN RESTO,JL. GANDAPURA NO.43,sumur bandung,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:43,38323.0,3.49,10980.8,4.0,19.0,38.0
KAMPUNG MUARA SUNDA BANDUNG,JL. SUMBAWA NO.10 - 12,sumur bandung,4.4,,CLOSED_PERMANENTLY,2025-06-28 21:23:44,38323.0,3.49,10980.8,4.0,19.0,38.0
POINT COFFEE,JL. JAWA NO.38MERDEKAKEC,sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:23:46,38323.0,3.49,10980.8,4.0,19.0,38.0
KOPI MOYAN,JL. ANGGREK NO.30,sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:23:47,38323.0,3.49,10980.8,4.0,19.0,38.0
HAFA WAREHOUSE,JL. GUDANG SELATAN NO.88,sumur bandung,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:48,38323.0,3.49,10980.8,4.0,19.0,38.0
TOKO AKARASA,JL. ANGGREK NO.27,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:23:49,38323.0,3.49,10980.8,4.0,19.0,38.0
HAMPTON COFFEE & EATERY,JL. ACEH NO.64,sumur bandung,4.5,,CLOSED_PERMANENTLY,2025-06-28 21:23:50,38323.0,3.49,10980.8,4.0,19.0,38.0
VAPORID PEJUANG,JL. ACEH NO.66,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:23:51,38323.0,3.49,10980.8,4.0,19.0,38.0
KALUARGI JAWA,JL. JAWA NO.36A,sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:23:52,38323.0,3.49,10980.8,4.0,19.0,38.0
KUNASI INDONESIA,JL. GANDAPURA NO.61,sumur bandung,4.7,,CLOSED_TEMPORARILY,2025-06-28 21:23:53,38323.0,3.49,10980.8,4.0,19.0,38.0
EATBOSS MANGGALA,JL. ACEH NO.66,sumur bandung,4.2,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:54,38323.0,3.49,10980.8,4.0,19.0,38.0
KEDAIFAVORITE,"NO., JL. L. L. R.E. MARTADINATA NO.162",sumur bandung,4.471320754716982,,OPERATIONAL,2025-06-28 21:23:55,38323.0,3.49,10980.8,4.0,19.0,38.0
PIZZA HUT RESTAURANT,JL. GANDAPURA NO.126,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:56,38323.0,3.49,10980.8,4.0,19.0,38.0
HAKATA IKKOUSHA,LLRE MARTADINATA ST NO.172,sumur bandung,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:57,38323.0,3.49,10980.8,4.0,19.0,38.0
AMITY COFFEE & SPACE,JL. GANDAPURA NO.55,sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:23:59,38323.0,3.49,10980.8,4.0,19.0,38.0
STEAMBOAT AYUTTHAYA,JL. GUDANG SELATAN NO.45,sumur bandung,1.0,,OPERATIONAL,2025-06-28 21:24:02,38323.0,3.49,10980.8,4.0,19.0,38.0
RAMENS @GUDANG SELATAN,JL. GUDANG SELATAN NO.22,sumur bandung,4.1,,OPERATIONAL,2025-06-28 21:24:03,38323.0,3.49,10980.8,4.0,19.0,38.0
RESTORAN SEDERHANA RIAU,LLRE MARTADINATA ST NO.128,sumur bandung,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:05,38323.0,3.49,10980.8,4.0,19.0,38.0
MAMAYU MIE BAKSO,"NO 60KB, JL. SUNDA",sumur bandung,4.8,,OPERATIONAL,2025-06-28 21:24:06,38323.0,3.49,10980.8,4.0,19.0,38.0
PRIMA RASA BAKERY PASTRY,JL. KEMUNING NO.20,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:07,38323.0,3.49,10980.8,4.0,19.0,38.0
FAT PHÓ • GANDAPURA,JL. GANDAPURA NO.75,bandung wetan,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:08,28848.0,3.44,8386.05,4.0,14.0,117.0
AYAM BAKAR WONGSOLO BANDUNG,LLRE MARTADINATA ST NO.152,sumur bandung,4.4,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:24:09,38323.0,3.49,10980.8,4.0,19.0,38.0
SONOMA CAFE|RESTO (SONOMA GOLD),JL. LOMBOK NO.29,sumur bandung,4.5,Rp 100.000 - 200.000,OPERATIONAL,2025-06-28 21:24:10,38323.0,3.49,10980.8,4.0,19.0,38.0
