nama,alamat,kecamatan,google_rating,price_range_rupiah,business_status,processed_at,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman
DIMSUM KUY,"KANTIN SBM ITB, JL. GANESA NO.10",coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:44:54,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
"FISH BOX, CIUNGWANARA",JL. CIUNGWANARA NO.10A,coblong,4.5,,OPERATIONAL,2025-06-28 21:44:55,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
LAUTAN MERAH SEAFOOD,JL. CIKAPAYANG NO.8,coblong,4.1,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:44:56,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DAPUR LAUT,"4J45+2Q7, JL. GELAP NYAWANG",coblong,4.6,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:44:57,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
HALIMUN CAFE,JL. IR. H. JUANDA NO.109,coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:44:58,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DARI RUMAH CATERING,GG. I NO.E6,coblong,4.8,,OPERATIONAL,2025-06-28 21:44:59,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MEDANE COFFEE,JL. IR. H. JUANDA NO.157,coblong,4.9,,OPERATIONAL,2025-06-28 21:45:01,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
NOBELIUS COFFEE SHOP,JL. GANESHA 10 GD CRCS ITB LANTAI DASAR,coblong,4.4,,OPERATIONAL,2025-06-28 21:45:02,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MIMITI COFFEE & SPACE,JL. SUMUR BANDUNG NO.14,coblong,5.0,,OPERATIONAL,2025-06-28 21:45:03,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DAGO PANYAWANGAN,JL. IR. H. JUANDA NO.127,coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:04,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
WARUNG PASTA BANDUNG,JL. GANESA NO.4,coblong,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:05,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MÁLAGA RESTO,"M BUILDING, JL. SILIWANGI DALAM NO.1 FLOOR 1",coblong,4.8,,OPERATIONAL,2025-06-28 21:45:06,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MAYASARI BAKERY SILIWANGI,"JL. SILIWANGI NO.1, RT.003/RW.003",coblong,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:07,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SHU GUO YIN XIANG BANDUNG,JL. IR. H. JUANDA NO.177,coblong,4.7,,OPERATIONAL,2025-06-28 21:45:08,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SAISAN TEPPAN AND IZAKAYA,JL. IR. H. JUANDA NO.161,coblong,4.5,Rp 100.000 - 200.000,OPERATIONAL,2025-06-28 21:45:09,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RUMAH MAKAN LUMPIA SEMARANG,"JALAN BADAK SINGA NO.21, TAMANSARI, BANDUNG WETAN",coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:10,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
EITITU RESTO & CAFE,"GEDUNG CAMPUS CENTER TIMUR ITB, JL. GANESA NO.10",coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:11,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
NOAH'S BARN,JL. DAYANG SUMBI NO.2,coblong,4.6,Rp 100.000 - 200.000,OPERATIONAL,2025-06-28 21:45:13,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAFE HALAMAN,JL. TAMANSARI NO.92,coblong,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:14,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BADAKSINGA6,JL. BADAK SINGA NO.6,coblong,4.7,,OPERATIONAL,2025-06-28 21:45:15,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MADAME SARI RESTAURANT,JL. IR. H. JUANDA NO.85,coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:16,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
VERDE RESTO AND LOUNGE,JL. IR. H. JUANDA NO.177,coblong,4.4,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:45:17,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
FISH AND CHIPS BY MARI'AM,JL. DIPATI UKUR NO.92,coblong,5.0,,OPERATIONAL,2025-06-28 21:45:18,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAFE HALAMAN EAT N GO,"3HPV+2G2, JL. PASIR KALIKI",andir,4.5,,OPERATIONAL,2025-06-28 21:45:19,99119.0,4.22,23487.91,1.0,20.0,34.0
SUJIVA RESTO & ART SPACE,JL. SUMUR BANDUNG NO.6,coblong,4.8,,OPERATIONAL,2025-06-28 21:45:20,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
PIZZA PLACE,JL. IR. H. JUANDA NO.113,coblong,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:21,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DAIGAKU STEAK & RAMEN,JL. GELAP NYAWANG NO.BLK. B,coblong,4.1,,OPERATIONAL,2025-06-28 21:45:22,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
PEELS RECORDS & BAR,JL. IR. H. JUANDA NO.113 LT. 2,coblong,5.0,,OPERATIONAL,2025-06-28 21:45:24,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BIER ORT,JL. TAMANSARI NO.88,coblong,4.8,,OPERATIONAL,2025-06-28 21:45:25,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
GASTROBOX.ID,JL. TAMANSARI NO.17,bandung wetan,4.3,,OPERATIONAL,2025-06-28 21:45:26,28848.0,3.44,8386.05,4.0,14.0,117.0
OPIUCI,"JL. SUMUR BANDUNG SIMPANG NO.14, RW.14",coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:27,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TAMANSARI FOOD FEST (TAMFES) FOOD COURT,JL. TAMANSARI NO.71,coblong,4.3,,OPERATIONAL,2025-06-28 21:45:28,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ONE EIGHTY COFFEE AND MUSIC,JL. GANESA NO.3,coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:29,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAFFE BENE DAGO,JL. IR. H. JUANDA NO.155,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:30,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TWO HANDS FULL,JL. IR. H. JUANDA NO.113,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:31,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BRIGHT CAFE,JL. IR. H. JUANDA NO.139,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:32,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ALFA X DAYANG SUMBI,JL. DAYANG SUMBI JL. SILIWANGI NO.10,coblong,4.4,,OPERATIONAL,2025-06-28 21:45:33,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MELTING MOMENT KOREAN SNOW BINGSU CAFE,JL. DIPATI UKUR NO.38,coblong,5.0,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:34,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SUCRÉ PÂTISSIER AND CHOCOLATIER - DIPATIUKUR,JL. DIPATI UKUR NO.8,coblong,4.6,,OPERATIONAL,2025-06-28 21:45:35,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
US THE BEAR,JL. SEKELOA SEL. II NO.1A,coblong,5.0,,CLOSED_TEMPORARILY,2025-06-28 21:45:36,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MADALANGU BAKEHOUSE,JL. PAGER GUNUNG NO.3,coblong,4.5,,OPERATIONAL,2025-06-28 21:45:37,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
JAVA DIMSUM,JL. DIPATI UKUR NO.48,coblong,4.3,Rp 15.000 - 50.000,CLOSED_TEMPORARILY,2025-06-28 21:45:38,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DIMSUM L KITCHEN,"JL. SEKELOA TENGAH NO.7, RT.01/RW.03",coblong,5.0,,OPERATIONAL,2025-06-28 21:45:39,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RED DIMSUM 2 (CABANG),JL. SINGA PERBANGSA NO.104,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:40,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DEWA DIMSUM,JL. TEUKU UMAR NO.6/60,coblong,4.5,,OPERATIONAL,2025-06-28 21:45:41,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
LOCAL DIMSUM,JL. BAGUSRANGIN NO.101A,coblong,4.8,,OPERATIONAL,2025-06-28 21:45:42,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RED DIMSUM,"DEPAN UNPAD, JL. DIPATI UKUR",coblong,4.2,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:45:43,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DIMSUM JOS PREMIUM,COBLONG LEBAK GEDE,coblong,3.7,,OPERATIONAL,2025-06-28 21:45:44,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KEDAI BAPER DIMSUM,JL. DIPATI UKUR NO.19,coblong,4.3,,OPERATIONAL,2025-06-28 21:45:45,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAKAMA DIMSUM,"4J58+HW6, JL. DIPATI UKUR",coblong,3.7,,OPERATIONAL,2025-06-28 21:45:46,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BIG DIMSUM 88 DU,JL. HASANUDIN NO.1000,coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:45:47,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SERUAN COFFEE,JL. TEUKU UMAR NO.13A,coblong,5.0,,OPERATIONAL,2025-06-28 21:45:48,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
WARME19,JL. DIPATI UKUR NO.19,coblong,4.9,,OPERATIONAL,2025-06-28 21:45:49,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
GOHANKU TEUKU UMAR DIPATI UKUR BANDUNG,JL. TEUKU UMAR NO.35,coblong,4.6,,CLOSED_PERMANENTLY,2025-06-28 21:45:50,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KAMINARI BENTO,"4J38+FCJ, JL. DIPATI UKUR",coblong,5.0,,OPERATIONAL,2025-06-28 21:45:51,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ZEA FOOD HASANUDIN,JL. HASANUDIN,coblong,5.0,,OPERATIONAL,2025-06-28 21:45:52,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
GARENG KITCHEN,JL. PAGER GUNUNG NO.2,coblong,4.8,,OPERATIONAL,2025-06-28 21:45:53,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CANTEEN STEAK,JL. SEKELOA NO.21 A,coblong,4.1,,CLOSED_PERMANENTLY,2025-06-28 21:45:54,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
OLDPOT,JL. HASANUDIN NO.28,coblong,4.8,,CLOSED_PERMANENTLY,2025-06-28 21:45:55,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BEBEKE OM ARIS,JL. DIPATI UKUR,coblong,4.6,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:45:57,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
PANCAKE TIME,JL. HASANUDIN NO.1000,coblong,4.3,,OPERATIONAL,2025-06-28 21:45:57,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KEDAI PIZZA KAMPUNG (KPK),"JL. DIPATIUKUR, NO. 76 A",coblong,4.3,,OPERATIONAL,2025-06-28 21:45:58,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KAFE KEBON,JL. BAGUSRANGIN NO.7,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:45:59,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RAMEN HUNTER #RAMENRAMEINAJA,JL. DIPATI UKUR NO.19,coblong,4.9,,OPERATIONAL,2025-06-28 21:46:00,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
YU RAMEN,JL. DIPATI UKUR SAMPING MONUMEN PERJUANGAN,coblong,4.9,,OPERATIONAL,2025-06-28 21:46:02,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DAGADANG RESTO AND CAFE,JL. DIPATI UKUR NO.45,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:03,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MAKAN SATE,JL. BAGUSRANGIN NO.24A,coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:04,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
"BELI MAKAN,TUBAGUS ISMAIL RAYA ( DEPAN MESS BI )","JL. TUBAGUS ISMAIL NO.10, RW.01",coblong,5.0,,OPERATIONAL,2025-06-28 21:46:05,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RICEZU BOWL DIPATIUKUR,JL. HASANUDIN NO.28,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:06,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TEPPANYACHI,"PINTU KELUAR TELKOM, JL. JAPATI",coblong,5.0,,CLOSED_PERMANENTLY,2025-06-28 21:46:07,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KUMARI (BAKE AND BREW),JL. BAGUSRANGIN NO.1,coblong,4.8,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:08,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
HIROGRILL,JL. JAPATI NO.225,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:09,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
HABITAAS,JL. RADEN PATAH NO.3,coblong,4.6,,CLOSED_TEMPORARILY,2025-06-28 21:46:10,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MANNERY,JL. KYAI LUHUR NO.2,coblong,4.9,,OPERATIONAL,2025-06-28 21:46:11,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
OUTCAMP KITCHEN DIPATIUKUR,"SAMPING UNPAD DU, JL. TEUKU UMAR JL. DIPATI UKUR NO.40/60",coblong,3.0,,OPERATIONAL,2025-06-28 21:46:12,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
STARBUCKS DIPATI UKUR,JL. DIPATI UKUR NO.42,coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:13,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
IQOS PARTNER JS DIPATIUKUR,"IN STORE, JL. DIPATI UKUR NO.40",coblong,5.0,,OPERATIONAL,2025-06-28 21:46:14,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MULYA CIREBON CHINESE FOOD,"4J87+9W2, JL. TUBAGUS ISMAIL",coblong,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:46:15,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
WAROENG STEAK AND SHAKE DIPATIUKUR BANDUNG,JL. DIPATI UKUR NO.63,coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:16,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
AYAM GEPREK BEBAS,JL. TENGKU ANGKASA NO.32A,coblong,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:46:17,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SIMOO BURGER DIPATIUKUR,JL. DIPATI UKUR SAMPING MONUMEN PERJUANGAN,coblong,4.5,,OPERATIONAL,2025-06-28 21:46:18,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RIMBA (MAKANSAYUR.RIMBA),JL. TEUKU UMAR NO.35,coblong,4.556410256410256,,UNKNOWN,2025-06-28 21:46:19,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAFE DIET,"RS BORROMEUS, JL. IR. H. JUANDA",coblong,5.0,,OPERATIONAL,2025-06-28 21:46:20,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
REDHOT CHILIDOGS AND BURGERS,JL. IR. H. DJUANDA NO 86 - DAGO 86,coblong,4.9,,OPERATIONAL,2025-06-28 21:46:21,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DJHEPANIN,JL. JAPATI NO.225,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:22,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
NONGKRONG DI DU,JL. DIPATI UKUR NO.102,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:23,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
LIT COFFEE BDG,JL. TEUKU UMAR NO.35,coblong,4.0,,OPERATIONAL,2025-06-28 21:46:24,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DE.U COFFEE,JL. DIPATI UKUR NO.23,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:25,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DISNY RESTAURANT,JL. DIPATI UKUR NO.84,coblong,4.8,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:46:26,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
D LIMA SATU,JL. DIPATI UKUR NO.51,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:27,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
D51,JL. DIPATI UKUR NO.43 / 60,coblong,4.556410256410256,,UNKNOWN,2025-06-28 21:46:28,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KOPI TOKO DJAWA (TEUKU UMAR),JL. TEUKU UMAR NO.5,coblong,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:29,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
NOZOMI DIMSUM,4J39+GGR,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:30,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TALUPA BISTRO AND BRUNCH,JL. TENGKU ANGKASA NO.38,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:31,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
STEAK RANJANG DIPATIUKUR - STEAK ENAK DI BANDUNG,JL. DIPATI UKUR NO.248,coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:32,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TOKO YOU,JL. HASANUDIN NO.12,coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:33,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
PSY - PATTAYA STEAMBOAT YAKINIKU,JL. HASANUDIN NO.26,coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:34,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SWISSE PREMIUM ICE CREAM,"NO.1 SEKELOA KECAMATAN, JL. TUBAGUS ISMAIL",coblong,5.0,,OPERATIONAL,2025-06-28 21:46:35,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
日本食堂 ~NIHON SYOKUDO~,JL. DIPATI UKUR NO.68,coblong,4.3,,CLOSED_PERMANENTLY,2025-06-28 21:46:36,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TACOZAKI HASANUDIN,JL. HASANUDIN NO.28,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:37,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
THE LOUNGE,"PATRA BANDUNG HOTEL, JL. IR. H. JUANDA NO.132",coblong,4.5,,OPERATIONAL,2025-06-28 21:46:38,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BROIL BEER CAFE STEAK BURGER PIZZA COFFEE,"BROIL CAFE, JL. PAGER GUNUNG NO.2",coblong,4.9,,OPERATIONAL,2025-06-28 21:46:40,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
MY GRILL FRIENDS,JL. DIPATI UKUR NO.21,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:41,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CAFE ARTIS NYI ITEUNG,JL. BAGUSRANGIN NO.8,coblong,4.9,,CLOSED_PERMANENTLY,2025-06-28 21:46:42,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
COFFEELABS COBLONG,JL. PROF. DR. MOCHTAR KUSUMAATMADJA NO.43,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:43,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
COFFEE TOFFEE GASIBU SURAPATI,JL. SURAPATI NO.37,coblong,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:44,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
LUPAIN CAFE,4J77+RJ2,coblong,4.3,,OPERATIONAL,2025-06-28 21:46:45,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DISEBUT KOPI,"DISEBUT KOPI, PINGGIR JL. IR. H. JUANDA NO.84",coblong,4.8,,CLOSED_PERMANENTLY,2025-06-28 21:46:46,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TERMINAL COFFEE,JL. HASANUDIN NO.3,coblong,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:46:47,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TIGA OUTDOOR CAFE,JL. HASANUDIN NO.10,coblong,4.8,,OPERATIONAL,2025-06-28 21:46:48,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ESSAY COFFEE,JL. H. WASID NO.29,coblong,4.7,,OPERATIONAL,2025-06-28 21:46:49,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
OTILLIE COFFEE & KITCHEN,JL. HASANUDIN NO.7,coblong,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:50,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
GALERI KOPI SURAPATI,JL. SURAPATI NO.15,coblong,4.5,,OPERATIONAL,2025-06-28 21:46:51,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
D'ESPOIR CAFFE,JL. DIPATI UKUR NO.51,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:52,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KOPI ANOMI & CROFFLE MADEP,JL. JAPATI,coblong,5.0,,OPERATIONAL,2025-06-28 21:46:53,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ASIA MARTABAK JEPANG DAGO,JL. DAGO NO.205,coblong,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:54,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RAINBOW PANCAKE,JL. CISITU LAMA NO.38 160A,coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:46:55,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
YAGAMI RAMEN HOUSE DAGO,JL. IR. H. JUANDA NO.185,coblong,4.3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:56,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
WARUNG JAWA,JL. CISITU LAMA NO.6C 160B,coblong,4.6,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:46:57,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
KEDAI DAGO 213 (CAFE & RESTO),"JL. IR. H. JUANDA NO.213, RW.01",coblong,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:46:59,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
TOKO KITCHEN SET BANDUNG,JL. CISITU INDAH VII NO.78,coblong,4.5,,OPERATIONAL,2025-06-28 21:47:00,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
WARUNG 48,4JC9+7G9,coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:47:01,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
COUNTRYHUMANS,JL. IR. H. JUANDA NO.318,coblong,4.2,,OPERATIONAL,2025-06-28 21:47:02,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
DAPOOR FAMILY,JL. SANGKURIANG BAWAH NO.45,coblong,4.556410256410256,,OPERATIONAL,2025-06-28 21:47:03,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
"SELITER - KIOS OLAHAN BUAH, DAGO",JL. IR. H. JUANDA NO.332,coblong,4.9,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:47:04,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
JAJAN DIMSUM BANDUNG,JL. DIPATI UKUR NO.42,cicendo,4.7,,OPERATIONAL,2025-06-28 21:47:05,96382.0,7.79,12372.53,2.0,35.0,46.0
DELAPAN PADI,JL. DIPATI UKUR NO.8,coblong,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:47:06,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
CODEA CLUB BANDUNG,JL. IR. H. JUANDA NO.72,coblong,4.5,,OPERATIONAL,2025-06-28 21:47:07,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
BOTTLE UNION SHOP BANDUNG,JL. DIPATI UKUR NO.72E,coblong,5.0,,OPERATIONAL,2025-06-28 21:47:08,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
EMADOS SHAWARMA DAGO,JL. IR. H. JUANDA NO.314,coblong,4.2,,OPERATIONAL,2025-06-28 21:47:09,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
RUMAH MAKAN DIWO,JL. IR. H. JUANDA NO.438 A,coblong,4.1,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:47:10,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
FEAST RESTAURANT,"HOTEL & TOWERS, SHERATON BANDUNG JL. IR. H. JUANDA NO.390",coblong,4.5,,OPERATIONAL,2025-06-28 21:47:11,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
ERLA'S MEXICAN CAFE,JL. DAGOPOJOK NO.3,coblong,4.5,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:47:13,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
THAI PALACE RESTAURANT,JL. IR. H. JUANDA NO.345,coblong,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:47:14,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
SUBWAY - DIPATIUKUR,JL. DIPATI UKUR NO.42,coblong,4.4,,OPERATIONAL,2025-06-28 21:47:15,115273.0,7.31,15769.22,3.0484178421654593,62.0,37.0
