nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
METRO INDAH MALL,JL. SOEKARNO HATTA JL. MTC BARAT NO. 590,Buahbatu,tourism_shopping,-6.9430663913270205,107.65887223541534,2021,cleaned_objek_wisata_belanja.csv,Buahbatu,104434.0,7.46,13999.2
JAYA PLAZA,JL. JEND. AHMAD YANI NO. 238,Batununggal,tourism_shopping,-6.917657329259269,107.62659842430485,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
THE PLAZA IBCC,JL. JEND AHMAD YANI NO. 296,Batununggal,tourism_shopping,-6.915313975997785,107.63342472235416,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
ITC KEBON KELAPA,JL. MOH. TOHA JL. PUNGKUR,Batununggal,tourism_shopping,-6.915313975997785,107.63342472235416,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
RAJAWALI PLAZA,JL. RAJAWALI TIMUR NO. 27,Andir,tourism_shopping,-6.915876683103376,107.58891379324648,2021,cleaned_objek_wisata_belanja.csv,Andir,99119.0,4.22,23487.91
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,Bandung Wetan,tourism_shopping,-6.966452513855623,107.63804152790944,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
RAMAYANA,JL. ASTANA ANYAR NO. 186,Astanaanyar,tourism_shopping,-6.92688126311042,107.5998676354403,2021,cleaned_objek_wisata_belanja.csv,Astanaanyar,73232.0,2.68,27325.37
YOGYA SUNDA,JL. SUNDA NO. 60,Sumur Bandung,tourism_shopping,-6.9178196094115565,107.61826415056704,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
RUMAH MODE FACTORY OUTLET,JL. DR. SETIABUDI NO. 41,Cidadap,tourism_shopping,-6.876233328556991,107.6010442257491,2021,cleaned_objek_wisata_belanja.csv,Cidadap,54680.0,8.42,6494.06
BLOSSOM,JL. IR. H. JUANDA NO. 112,Coblong,tourism_shopping,-6.889413936012234,107.61358346500812,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
