nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
IOTA COFFEE,"FOOD POINT, ISTANA BEC, JL. PURNAWARMAN NO.5-17 LT. 3",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
96 C/F CUSTOM COFFEE GARAGE,"PS. BESI KB. SIRIH, JALAN BABAKAN CIAMIS NO.96/1B, BELAKANG
  NO.07 RT 06",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BAHAGIA KOPI - BRAGA,JL. BRAGA NO.61,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DELI COFFEE SHOP,JL. MERDEKA NO.32,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
APERO CAFE,"DEPAN BEC, JL. PURNAWARMAN NO.32",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
IFI BANDUNG,JL. PURNAWARMAN NO.32,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BLUE OLIVES TAVERNA,JL. KEBON SIRIH NO.31,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
"WARUNG INDOMIE DAN NASI KEBULI, MERDEKA",LLRE MARTADINATA ST NO.12 B,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KEDAY MAKANAN PESTA,FOOD COURT BIP LT.3,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MCDONALD'S,JL. PURNAWARMAN NO.13-15,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NGOPI DOELOE MERDEKA,JL. MERDEKA NO.39-41,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BAKMI GM BEC,JL. PURNAWARMAN NO.11,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HAYASHI TEPAN,"L3 , ISTANA BANDUNG ELECTRONIC CENTER ( BEC ) , JL.
  PURNAWARMAN, BABAKAN CIAMIS , 13-15 , SUMUR BANDUNG , 40117 BANDUNG , JAWA
  BARAT",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NOI NAN PAT CHAWADEE,JL. BRAGA NO.31-33,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CHARADA KOREAN BBQ,JL. KB. JUKUT NO.25-29 KAV 2,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THE AIRPLANE CAFE,JL. ACEH NO. 44 BABAKAN CIAMIS SUMURBANDUNG BANDUNG JAWA BARAT,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HALO HONG KONG CAFE BY TINY DUMPLING,JL. PROF. DR. SUTAMI NO.KAV 2,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HARA CAFE,JL. PROF. DR. SUTAMI NO.62,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SATE CIPEDES,"JL CIPEDES NO 19/176A, RT.02/RW.01",Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MOMOYO GEGERKALONG,JL. GEGERKALONG HILIR NO.55,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
"JUS SELITER, SUKARASA","JL. SUKAHAJI BARU GANG POS KAMLING NO.32, RT.003/RW.007",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LA COSTILLA (AFFORDABLE CASUAL DINING),JL. PROF. DR. SUTAMI NO.98,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JAVA BEAN,"RUMAH MODE, JL. DR. SETIABUDI NO.41",Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ILLY S CAFE BEC BANDUNG,"ISTANA BANDUNG ELECTRONICS CENTRE LANTAI LG AA 01 NO.15-17,
  JALAN PURNAWARMAN, SUMUR BANDUNG",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FORTUNATE COFFEE BANDUNG,JL. KEBON SIRIH NO.21A,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PARC DE VILLE RESTAURANT,JL. MERDEKA NO.25-29,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
THE BOND’S,LLRE MARTADINATA ST NO.12B,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BROOKLYN BAR & RESTO,"NO., JL. PURNAWARMAN NO.2",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
UFARA CATERING BANDUNG,JL. BABAKAN CIAMIS NO.81 5B,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LE CONDUCTEUR (LC) COFFEE SHOP & ROASTERY,JL. WASTUKENCANA NO.51,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOPI ITEUNG,JL. PURNAWARMAN NO.8,Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CAFETARIA,"JL. MERDEKA NO. 25-29 BABAKAN CIAMIS SUMURBANDUNG BANDUNG JAWA
  BARAT",Kecamatan Sumur Bandung,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PHO YOU ONLY VIETNAMESE TAKE OUT,JL. SETRA SIRNA II NO.02,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HACHI GRILL SUTAMI BANDUNG,JL. PROF. DR. SUTAMI NO.56,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
TWO OR MORE BAR,JL. SETRASARI RAYA NO.10,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MUGI CATERING,JL. SUKAHAJI BLK. 2,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NIMNA BOOKCAFÉ,JL. SUKAHAJI NO.126,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
D'BANDITS COFFEE,JL. SUKAHAJI NO.99 RT05/07,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WIFI.ID CORNER CIPEDES,JL. CIPEDES TENGAH NO.225,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RAJA RASA,JL. SETRARIA NO.1,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WAROENG ALA +62 - GO/GRABFOOD,"4HFJ+XF7, JL. CILANDAK",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
STRAUSS EATERY,JL. SUKAHAJI NO.125,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GOT BEEF SELECT,JL. PROF. DR. SUTAMI,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HEALTHY CULINARY SALAD BAR,"JL. SUKAHAJI KULON NO.18, RT.10/RW.03",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KURNIA SEAFOOD BANDUNG,JL. PROF. DR. SUTAMI NO.100,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MUCHSIN ONLINE,JL. SUKAHAJI NO.23,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
POPPERS PIZZA,"IN TAMBUHAK FOOD & BEVERAGE GARDEN, JL. TERUSAN PROF. DR.
  SUTAMI NO.KAV 02",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
D'KINGS HOT CHICKEN WINGS,JL. SARIASIH NO.23,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
OHANA BURGER BAR,"DIDALAM KOPI MANDJA, JL. TERUSAN SUTAMI JL. SARIWANGI NO.3",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ELBURGER,JL. SARIMANAH NO.74,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BURGER NASI BELVIN,"KP. AWINGAHGAR, RT.03/RW.08",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MR.BURGER,"JL SARIASIH NO 24- SARIJADI BLOK 3, RT 05/09",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG NASI DAN LOTEK BU INDRI,GG. SARIRASA V,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NEEAT COFFEE & KITCHEN,JL. GEGERKALONG HILIR NO.161,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
OLD BEN'S GARAGE & COFFEE,JL. TERUSAN PROF. DR. SUTAMI NO.23,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SATE MARANGGI RAVASYA,JL. SETRA MURNI ATAS NO.4,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LITTLE SUGAR,JALAN TIRTASARI II NO.1,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
EAT THIS KUE!,"FLAT BLOK I LT. 1 NO. 1, JL. SARIWANGI NO.11",Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DIMSUM RAKYAT 1000,JL. SARIASIH NO.22 BLOK 6,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DIMSUM JOHN,JL. GEGERKALONG HILIR NO.178A,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PRODUKSI DIMSUM,JL. CIJEROKASO NO.38,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PEMPEK NONA,SARIJADI BLOK 8 NO.177,Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Sukasari,77576.0,6.36,12197.48
KANMURA,JL. SERSAN BAJURI NO.36,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HÄAGEN-DAZS,JL. DR. SETIABUDI,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DUMUK RESTO,"4HXW+6JF, JL. DR. SETIABUDI",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HARMONY - BAKMI & DIMSUM,JL. SERSAN BAJURI NO.36,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOPDAR HALAL STEET FOOD,JL. GEGERKALONG GIRANG BARU NO.2,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
EAT THE GREENS - PLANT BASED,JL. SARIJADI RAYA NO.11 BLOK.5,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CATERING BU PUR,JL. SARIMANAH XIV BLOK.XI NO.69,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CAHAYA CATERING,"KENSINGTON RESIDENCE, JL. SARIRASA JL. LEMAHNENDEUT NO.2B",Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Sukasari,77576.0,6.36,12197.48
FOOD COURT - KULINER PASAR SARIJADI,"4HGG+3CF, JL. SARIASIH",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG INDOMIE & KOPI JAWARA 33,"JL. SARIASIH NO.9, RT.04/RW.2",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MASAKAN SUNDA,SUKASARI SARIJADI,Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Sukasari,77576.0,6.36,12197.48
KOROMI,JL. GEGERKALONG HILIR NO.179,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DECHICK FRIED CHICKEN,JL. SARIMANAH NO.6A,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KEDAI YUKENSIMI (AYAM BAKAR & HOT SPICY CHICKEN),JL. SARIASIH NO.80,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CELUP FRIED CHICKEN,JL. SARIASIH IV NO.58,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
"D'WINGS CHICKEN WINGS, SARIMANIS","4HCF+4CC, JL. SARIMANIS VII",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
I CAN READ BANDUNG,JL. SUKAWANGI NO.2,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
OH MY JUICE,"01, JL. DR. SETIABUDI NO.170",Kecamatan Cidadap,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RUMAH GUGUK PETSHOP,JL. PADA LESTARI NO.23,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JING PARADISE CHINESE FINE DINING RESTAURANT,JL. DR. SETIABUDI NO.269-275,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GRUN RESTO & BAR,JL. DR. SETIABUDI NO.295,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JUVANTE COFFEE & EATERY,"JL. RAYA LEMBANG (TERS, JL. DR. SETIABUDI NO.7",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CAROFEE,JL. GEGERKALONG GIRANG BARU NO.04,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LET'S EAT BANDUNG,JL. GEGER ARUM,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DEMIR TURKISH RESTAURANT,JL. GEGERKALONG GIRANG NO.20,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
COMMON GROUNDS,JL. DR. SETIABUDI NO.49,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HAGET FRIED CHICKEN,JL. SERSAN BAJURI NO.95,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DE'CHICK,"JALAN SERSAN BAJURI, INDOMART NO.3, ISOLA, SUKASARI",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MEAT ON BURGER,"AKSES, UNIVERSITAS PENDIDIKAN INDONESIA, JL. GEGERKALONG
  GIRANG, JALAN FMIPA K NO.124, RT.02/RW.06",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG MAKAN BU MAE,CIRATEUN NO.34 RT 01/02 KEL,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HARDY'S DINING ROOM,JL. DR. SETIABUDI NO.269 275,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
LOJITOEIR,JL. DR. SETIABUDI NO.293/295,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RAA CHA SUKI BARBEQUE,JL. SUKAJADI NO.225,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WAROENG SNOEPEN,"KOMP. PONDOK HIJAU INDAH RUMAH SERBA GUNA RUKO, JL. PINUS RAYA
  BAR. NO.E-1H",Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,Sukasari,77576.0,6.36,12197.48
TRUCE,JL. SINDANG SIRNA NO.38,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HOLLAND BAKERY SETIABUDI,JL. DR. SETIABUDI NO.119A,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GADING CHINESE FOOD RESTAURANT,JL. SUKAJADI NO.228,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
AYAM-AYAMAN CHICKEN CHICKS PLANET,JL. GEGERKALONG TENGAH NO.14-39,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DK HOT CHIKEN WINGS,JL. GEGERKALONG WETAN NO.89,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PIZZA HUT DELIVERY - PHD INDONESIA,JL. DR. SETIABUDI NO.171,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JIMBARAN CAFE & LOUNGE,JL. GEGERKALONG HILIR NO.65,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BDG FOODIES,"KPAD, JL. AJUDAN JEND. NO.269A",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
81 SKY RESTO,"LT. ROOF TOP, JL. DR. SETIABUDI NO.153",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
RAMEN AA,JL. GEGERKALONG GIRANG NO.83,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
YELLOW DIMSUM,JL. GEGERKALONG GIRANG NO.127,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
ABOUT DIMSUM,JL. GEGERKALONG TENGAH NO.17,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KOPI KENDI 71,JL. GEGERKALONG TENGAH NO.71,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
5758 COFFEE LAB,"PONDOK HIJAU INDAH, RUSA PINUS RAYA E1-D, JL. PINUS RAYA BAR.",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MA' UNEH,JL. DR. SETIABUDI NO.159,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BAKMI PARAHYANGAN,JL. SUKAJADI NO.211,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PIZZA HUT RESTORAN,JL. DR. SETIABUDI NO.87,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
EAT TAHU,JL. GEGERKALONG HILIR NO.51,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MOCHIKIN KOREAN KRISPY CHICKEN,JL. DR. SETIABUDI NO.159,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BY LUDWICK,"JL. BUDI LUHUR I NO.11B, RT.07/RW.05",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
KATSU CHOP CHOP,JL. GATOT IV NO.99G,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MIE GACOAN - SETIABUDI,JL. DR. SETIABUDI NO.191B,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SUNDANESE TRADITIONAL FOOD,JL. DR. SETIABUDI NO.177,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
GANITRI OUTDOOR CAFE & RESTO,JL. SIRNAGALIH,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PONDOK SELERA SUNDA,JL. SUKAJADI NO.246,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NASI KEBULI BAQI,JL. GEGERKALONG HILIR NO.36,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DUMUK BARETO,JL. SUKAWANGI NO.1A,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
NOBU RAMEN & SUSHI,JL. GEGERKALONG HILIR NO.01,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CHUNG GI WA KOREAN BBQ,JL. LEMAH NEUNDEUT NO.87-89,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
STARBUCKS,JL. SURYA SUMANTRI NO.76C,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
INI KAMI KITCHEN,"AREA GATEBALL SARI ATER KAMBOTI, JL. LEMAHNENDEUT NO.7",Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
MCDONALD'S - SURYA SUMANTRI,JL. SURYA SUMANTRI NO.63,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PILAR KAYU RESTO,JL. HERCULES NO.5,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SATE SYAILENDRA,JL. SURYA SUMANTRI NO.105,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
FOOD FAMILY,JL. TERUSAN CIBOGO ATAS NO.32 RT 03/03,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SOP IGA DIPATIUKUR,"SAMPING ANEKA MOTOR SETIABUDI FOODCOURT, JL. DR. SETIABUDI
  NO.107B",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JAVAN STEAK & PASTA,JL. GEGERKALONG HILIR NO.38,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WOK TO GO,JL. DR. SETIABUDI NO.107,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
HOKBEN - SETIABUDI,JL. DR. SETIABUDI NO.61,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
SUSHI TEI • FLAMBOYANT,"FLAMBOYANT SEASON BUILDING, JL. SUKAWANGI NO.2 LT.1",Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CATERBOX.ID | PESAN-ANTAR NASI BOX,JL. BUDI LUHUR I NO.2,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CATERING MAHASISWA BANDUNG,JL. GEGERKALONG GIRANG GG. CEMPAKA NO. 123 RT. 02 RW. 06,Kecamatan Sukasari,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
AYUKMAKANPEMPEK,JL. BABAKAN JERUK VI NO.21,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
CEMILANSA ( CEMILAN SEGALA ADA ),JL. SUKAGALIH NO.110 B,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
JAVA SEA BANDUNG,KOMPLEK SETRASARI MALL C2 NO. 25-27,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
VENESIA CAFE,JL. SURYA SUMANTRI NO.29,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
PURI LESTARI CATERING,JL. SARIMADU NO.16,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
DE'COFF KEDAI KOPI,JL. SARIWANGI DALAM NO.85 BLOK 24,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BOTTLE AVENUE LEMAH NEUNDEUT,JL. LEMAH NEUNDEUT,Kecamatan Cibeunying Kidul,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
BARBEQUE & GRILL (Q-BAR),JL. SURYA SUMANTRI NO.49,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
WARUNG NASI PAWON SUNDA,JL. SURYA SUMANTRI NO.111,Kecamatan Sukajadi,restaurant,,,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,
