nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,mall_per_capita,minimarket_density,taman_per_capita,ulasan_per_capita,competition_density,market_potential,infrastructure_score,retail_accessibility,population_tier,density_tier,review_tier,rating_normalized,high_rating,excellent_rating,high_volume_reviews,very_high_volume_reviews,log_jumlah_ulasan,log_kepadatan,kategori_resto_encoded,price_range_encoded,price_category_interaction,rating_review_interaction,density_infrastructure,success_category,market_attractiveness,business_viability,competition_target
KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,65,0.010088883059756455,4.739336492890995,0.34302202403171944,0.6557773988841696,15.402843601895736,493246.11,55.0,21.0,High,Medium,Very Low,1.0,1,1,0,0,4.189654742026425,10.064283673851754,8,3,24,20.948273710132128,1291835.05,Low,Low,Medium Risk,Avoid
NATURAL TASTE,JL. SAPTA MARGA NO.72,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,144,0.010088883059756455,4.739336492890995,0.34302202403171944,1.4527991606049293,34.12322274881517,493246.11,55.0,21.0,High,Medium,Very Low,1.0,1,1,0,0,4.976733742420574,10.064283673851754,8,3,24,24.88366871210287,1291835.05,Low,Low,Medium Risk,Avoid
SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Restaurant,2500,0.010088883059756455,4.739336492890995,0.34302202403171944,25.222207649391134,592.4170616113745,493246.11,55.0,21.0,High,Medium,Low,0.8704285714285713,0,0,1,0,7.824445930877619,10.064283673851754,8,2,16,35.06693110621324,1291835.05,High,Low,High Risk,Go
WARUNG & CAFE IBU NN,4H28+J98,andir,4.5,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Cafe,232,0.010088883059756455,4.739336492890995,0.34302202403171944,2.3406208698634976,54.976303317535546,493246.11,55.0,21.0,High,Medium,Very Low,0.875,1,0,0,0,5.4510384535657,10.064283673851754,1,3,3,24.52967304104565,1291835.05,Medium,Low,Low Risk,Avoid
EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,105,0.010088883059756455,4.739336492890995,0.34302202403171944,1.0593327212744277,24.881516587677726,493246.11,55.0,21.0,High,Medium,Very Low,0.0,0,0,0,0,4.663439094112067,10.064283673851754,8,0,0,4.663439094112067,1291835.05,Low,Low,Low Risk,Avoid
RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,669,0.010088883059756455,4.739336492890995,0.34302202403171944,6.749462766977068,158.5308056872038,493246.11,55.0,21.0,High,Medium,Very Low,0.0,0,0,0,0,6.507277712385012,10.064283673851754,8,0,0,6.507277712385012,1291835.05,High,Low,Low Risk,Avoid
PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,350,0.010088883059756455,4.739336492890995,0.34302202403171944,3.5311090709147592,82.93838862559242,493246.11,55.0,21.0,High,Medium,Very Low,0.8704285714285713,0,0,0,0,5.860786223465865,10.064283673851754,0,2,0,26.266369343224444,1291835.05,Medium,Low,Low Risk,Avoid
TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,504,0.010088883059756455,4.739336492890995,0.34302202403171944,5.084797062117253,119.43127962085309,493246.11,55.0,21.0,High,Medium,Very Low,0.8704285714285713,0,0,0,0,6.22455842927536,10.064283673851754,0,2,0,27.896692434746654,1291835.05,Medium,Low,Low Risk,Avoid
SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,andir,4.7,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,32,0.010088883059756455,4.739336492890995,0.34302202403171944,0.32284425791220656,7.5829383886255926,493246.11,55.0,21.0,High,Medium,Very Low,0.925,1,0,0,0,3.4965075614664802,10.064283673851754,1,3,3,16.43358553889246,1291835.05,Low,Low,Low Risk,Avoid
ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,153,0.010088883059756455,4.739336492890995,0.34302202403171944,1.5435991081427374,36.25592417061612,493246.11,55.0,21.0,High,Medium,Very Low,0.95,1,1,0,0,5.0369526024136295,10.064283673851754,8,3,24,24.17737249158542,1291835.05,Low,Low,Low Risk,Avoid
