nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,mall_per_capita,minimarket_density,taman_per_capita,ulasan_per_capita,competition_density,market_potential,infrastructure_score,retail_accessibility,population_tier,density_tier,review_tier,rating_normalized,high_rating,excellent_rating,high_volume_reviews,very_high_volume_reviews,log_jumlah_ulasan,log_kepadatan,kategori_resto_encoded,price_range_encoded,price_category_interaction,rating_review_interaction,density_infrastructure,success_category,market_attractiveness,business_viability,competition_target
KRENCHISE HOT SPICY,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Restaurant,4540,0.03998659218958839,1.023391812865497,0.10493729996327195,59.55191772915683,663.7426900584795,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Medium,0.75,0,0,1,0,8.420902531097951,9.318890694785548,8,2,16,33.683610124391805,201160.62638581777,High,Low,High Risk,Go
BURGER PONDOK,JL. EMBAH JAKSA NO.15,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Fast Food,559,0.03998659218958839,1.023391812865497,0.10493729996327195,7.3324938349336275,81.72514619883042,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.875,1,0,0,0,6.327936783729195,9.318890694785548,4,3,12,28.475715526781375,201160.62638581777,High,Low,Low Risk,Avoid
BAGEUR BURGER,JL. TERUSAN CIPADUNG,cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Fast Food,92,0.03998659218958839,1.023391812865497,0.10493729996327195,1.2067789495776273,13.450292397660819,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.95,1,1,0,0,4.532599493153256,9.318890694785548,4,3,12,21.75647756713563,201160.62638581777,Low,Low,Low Risk,Avoid
ALIBABA SUKI & GRILL,JL. DESA CIPADUNG NO.49,cibiru,4.6,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Western Food,157,0.03998659218958839,1.023391812865497,0.10493729996327195,2.059394511779212,22.953216374269008,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.8999999999999999,1,0,0,0,5.062595033026967,9.318890694785548,10,3,30,23.287937151924044,201160.62638581777,Medium,Low,Low Risk,Avoid
'EAT AND I' CORNDOGS CORNER,JL. CIGAGAK NO.96,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,11,0.03998659218958839,1.023391812865497,0.10493729996327195,0.14428878744949894,1.608187134502924,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,2.4849066497880004,9.318890694785548,8,3,24,12.424533248940001,201160.62638581777,Low,Low,Low Risk,Avoid
LIES RESTO,JL. DESA CIPADUNG NO.232,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Restaurant,164,0.03998659218958839,1.023391812865497,0.10493729996327195,2.1512146492470747,23.976608187134502,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.875,1,0,0,0,5.10594547390058,9.318890694785548,8,3,24,22.976754632552613,201160.62638581777,Medium,Low,Low Risk,Avoid
OD-HURR CAFE AND RESTO,JL. DESA CIPADUNG NO.12,cibiru,4.9,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Cafe,141,0.03998659218958839,1.023391812865497,0.10493729996327195,1.849519911852668,20.614035087719298,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.9750000000000001,1,1,0,0,4.955827057601261,9.318890694785548,1,3,3,24.28355258224618,201160.62638581777,Medium,Low,Low Risk,Avoid
SATE ADDICT,JL. TERUSAN SALUYU NO.42,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,75,0.03998659218958839,1.023391812865497,0.10493729996327195,0.9837871871556745,10.964912280701755,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,4.330733340286331,9.318890694785548,8,3,24,21.653666701431654,201160.62638581777,Low,Low,Low Risk,Avoid
FOOD BACKGROUND,JL. DAMIN II NO.53,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,99,0.03998659218958839,1.023391812865497,0.10493729996327195,1.2985990870454902,14.473684210526317,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,4.605170185988092,9.318890694785548,8,3,24,23.02585092994046,201160.62638581777,Low,Low,Low Risk,Avoid
KAY CATERING BANDUNG,3PWC+C7W,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,49,0.03998659218958839,1.023391812865497,0.10493729996327195,0.6427409622750406,7.16374269005848,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,3.912023005428146,9.318890694785548,8,3,24,19.56011502714073,201160.62638581777,Low,Low,Low Risk,Avoid
AYAM GEPREK CHICKEN DINNER FOOD,JL. CILENGKRANG 1 NO.128,cibiru,3.7,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Restaurant,2009,0.03998659218958839,1.023391812865497,0.10493729996327195,26.35237945327667,293.7134502923977,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Low,0.675,0,0,1,0,7.605890001053122,9.318890694785548,8,1,8,28.141793003896552,201160.62638581777,High,Low,Low Risk,Avoid
COΥNТER ЅEВLAĸ ТEН ΙNA,JL. CILENGKRANG 1 NO.23,cibiru,4.3,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Restaurant,964,0.03998659218958839,1.023391812865497,0.10493729996327195,12.64494464557427,140.93567251461988,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.825,0,0,0,0,6.872128101338986,9.318890694785548,8,2,16,29.550150835757638,201160.62638581777,High,Low,Low Risk,Avoid
DIARY'S KITCHEN,JL. CIBIRU TONGGOH NO.21,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,146,0.03998659218958839,1.023391812865497,0.10493729996327195,1.915105724329713,21.34502923976608,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.9115384615384614,1,0,0,0,4.990432586778736,9.318890694785548,8,3,24,23.186317557033508,201160.62638581777,Medium,Low,Low Risk,Avoid
BMB BURGER BANDUNG,"PASKAL HYPER SQUARE, THE TRIPARK",andir,4.6,Rp 100.000 - 200.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Fast Food,186,0.010088883059756455,4.739336492890995,0.34302202403171944,1.8765322491147005,44.07582938388626,493246.11,55.0,21.0,High,Medium,Very Low,0.8999999999999999,1,0,0,0,5.231108616854587,10.064283673851754,4,3,12,24.0630996375311,1291835.05,Medium,Low,Low Risk,Avoid
THE WINDCHIME,"JL. ARJUNA 63A, RW.01",cicendo,4.6,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Restaurant,76,0.0207507625905252,4.492939666238768,0.4772675395820796,0.7885289784399576,9.75609756097561,457783.61000000004,83.0,37.0,Medium,Low,Very Low,0.8999999999999999,1,0,0,0,4.343805421853684,9.423314792502264,8,3,24,19.981504940526946,1026919.9900000001,Low,Low,Low Risk,Avoid
SEJAHTERA RESTO,JL. CIKUTRA NO.212,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,190,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.67349275553794,45.893719806763286,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8999999999999999,1,0,0,0,5.25227342804663,10.219207003460745,8,3,24,24.160457769014496,988588.5665459399,Low,High,High Risk,Go
CORNDOG FIMS_ID,GG. BINAAN II NO.5,cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,270,0.02685002723534998,4.1062801932367154,0.14092570572951071,2.378121284185493,65.21739130434783,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8500000000000001,0,0,0,0,5.602118820879701,10.219207003460745,8,2,16,24.649322811870686,988588.5665459399,Medium,High,High Risk,Go
KHAYANGAN ASIAN FUSION FOOD,JALAN VILLA ASRI TENGAH V C 33,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,125,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.1009820760118025,30.193236714975846,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,4.836281906951478,10.219207003460745,8,3,24,24.18140953475739,988588.5665459399,Low,High,High Risk,Go
"W FIMS_ID,NEGLASARI UTARA",GG. BINAAN II NO.5,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,278,0.02685002723534998,4.1062801932367154,0.14092570572951071,2.448584137050249,67.14975845410629,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.876590909090909,1,0,0,0,5.631211781821365,10.219207003460745,8,3,24,25.376288002262278,988588.5665459399,Medium,High,High Risk,Go
BENTO KOPI CIKUTRA,GG. SEKEJATI 9 NO.74,cibeunying kaler,4.3,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,High (4.0-4.5),Cafe,528,0.0431408372557451,7.3275862068965525,0.4387082165803402,7.472191559819988,113.79310344827587,564205.9095081968,68.04841784216546,37.04841784216546,Low,Low,Very Low,0.825,0,0,0,0,6.270988431858299,9.631014566672349,1,2,2,26.965250256990686,1036301.1895081968,High,Medium,Medium Risk,Consider
BURGER MONJOE,JL. BOJONG KONENG NO.17A,cibeunying kidul,4.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,140,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.2330999251332189,33.81642512077295,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.95,1,1,0,0,4.948759890378168,10.219207003460745,4,3,12,23.75404747381521,988588.5665459399,Low,High,High Risk,Go
PANCAKE DURIAN KUY,4J4W+745,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Bakery,141,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.241907781741313,34.05797101449276,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,4.955827057601261,10.219207003460745,0,3,0,24.779135288006305,988588.5665459399,Low,High,High Risk,Go
INA COOKIES,JL. BOJONG KONENG ATAS NO.8,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,127,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.1185977892279915,30.676328502415462,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8999999999999999,1,0,0,0,4.852030263919617,10.219207003460745,8,3,24,22.319339214030236,988588.5665459399,Low,High,High Risk,Go
BEBZ BAR AND GRILL,JL. MANISI NO.117,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Western Food,618,0.03998659218958839,1.023391812865497,0.10493729996327195,8.106406422162758,90.35087719298245,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.75,0,0,0,0,6.428105272684596,9.318890694785548,10,2,20,25.712421090738385,201160.62638581777,High,Low,Low Risk,Avoid
CATERING MURAH BANDUNG,JL. KUSUMA NUSANTARA I NO.5,cibiru,4.646153846153846,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,586,0.03998659218958839,1.023391812865497,0.10493729996327195,7.6866572223096705,85.67251461988305,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.9115384615384614,1,0,0,0,6.375024819828097,9.318890694785548,8,3,24,29.619346085970538,201160.62638581777,High,Low,Low Risk,Avoid
KEDAI POJOK CITARASA - KANTIN HALAL UIN BANDUNG,UNIVERSITAS ISLAM NEGERI,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,76,0.03998659218958839,1.023391812865497,0.10493729996327195,0.9969043496510835,11.11111111111111,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,4.343805421853684,9.318890694785548,8,3,24,21.71902710926842,201160.62638581777,Low,Low,Low Risk,Avoid
DIMSUM 2711,JL. DESA CIPADUNG NO.121,cibiru,4.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Medium (3.5-4.0),Chinese Food,507,0.03998659218958839,1.023391812865497,0.10493729996327195,6.650401385172359,74.12280701754386,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.75,0,0,0,0,6.230481447578482,9.318890694785548,2,2,4,24.921925790313928,201160.62638581777,High,Low,Low Risk,Avoid
SUSHI JANDA,JL. A.H. NASUTION NO.115,cibiru,4.5,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,High (4.0-4.5),Japanese Food,68,0.03998659218958839,1.023391812865497,0.10493729996327195,0.8919670496878115,9.941520467836257,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.875,1,0,0,0,4.23410650459726,9.318890694785548,5,3,15,19.053479270687667,201160.62638581777,Low,Low,Low Risk,Avoid
JAWA FOOD 968 LESEHAN KHAS JOGYAKARTA,"JL.TERUSAN PANYILEUKAN, GG. DARUSSALAM BPR 2 NO.31",cibiru,4.8,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,16,0.03998659218958839,1.023391812865497,0.10493729996327195,0.2098745999265439,2.3391812865497075,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,0.95,1,1,0,0,2.833213344056216,9.318890694785548,8,3,24,13.599424051469837,201160.62638581777,Low,Low,Low Risk,Avoid
ARABIAN KEBAB CIPADUNG,JL. DESA CIPADUNG NO.232,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,184,0.03998659218958839,1.023391812865497,0.10493729996327195,2.4135578991552546,26.900584795321638,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,5.220355825078324,9.318890694785548,8,3,24,26.101779125391623,201160.62638581777,Medium,Low,Low Risk,Avoid
AHSAN CHICKEN CRISPY,JL. EMBAH JAKSA NO.233,cibiru,5.0,Rp 50.000 - 100.000,76236.0,6.84,11145.61,3.04841784216546,7.0,8.0,Very High (4.5-5.0),Restaurant,38,0.03998659218958839,1.023391812865497,0.10493729996327195,0.49845217482554177,5.555555555555555,111995.74638581778,18.04841784216546,10.04841784216546,Medium,Sparse,Very Low,1.0,1,1,0,0,3.6635616461296463,9.318890694785548,8,3,24,18.317808230648232,201160.62638581777,Low,Low,Low Risk,Avoid
PIZZA & BURGER ANANDA,JL. PADASUKA NO.127-129,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,204,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.7968027480512616,49.275362318840585,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.925,1,0,0,0,5.3230099791384085,10.219207003460745,4,3,12,25.01814690195052,988588.5665459399,Medium,High,High Risk,Go
OHAYOO,JL. A. YANI,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,233,0.02685002723534998,4.1062801932367154,0.14092570572951071,2.0522305896860003,56.28019323671498,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.876590909090909,1,0,0,0,5.455321115357702,10.219207003460745,8,3,24,24.583660698934658,988588.5665459399,Medium,High,High Risk,Go
"NU'IKI - EAT, DRINK, BE CREATIVE","3JPP+MFV, JL. KEBONWARU SELATAN",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,54,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.4756242568370987,13.043478260869566,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,4.007333185232471,10.219207003460745,8,3,24,20.036665926162357,988588.5665459399,Low,High,High Risk,Go
THE IS CATERING,JL. WIRANTA NO.35,cibeunying kidul,4.2,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,380,0.02685002723534998,4.1062801932367154,0.14092570572951071,3.34698551107588,91.78743961352657,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8,0,0,0,0,5.942799375126701,10.219207003460745,8,2,16,24.959757375532146,988588.5665459399,Medium,High,High Risk,Go
CONTRAST COFFEE & ROASTERY,JL. CISADEA NO.26,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,72,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.6341656757827983,17.39130434782609,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8999999999999999,1,0,0,0,4.290459441148391,10.219207003460745,1,3,3,19.736113429282597,988588.5665459399,Low,High,High Risk,Go
AWUG CIBEUNYING,JL. A. YANI NO.361,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,145,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.277139208173691,35.02415458937198,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.925,1,0,0,0,4.983606621708336,10.219207003460745,8,3,24,23.422951122029183,988588.5665459399,Low,High,High Risk,Go
LAOBAN BY UNCLE OSH KATAMSO,JL. BRIGADIR JEND. KATAMSO NO.25,cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,50,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.440392830404721,12.077294685990339,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.8999999999999999,1,0,0,0,3.9318256327243257,10.219207003460745,8,3,24,18.086397910531897,988588.5665459399,Low,High,High Risk,Go
DILLA'S CATERING,"JL.PHH MUSTOPHA, GG. NEGLASARI UTARA GG. BINAAN III NO.17",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,24,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.21138855859426608,5.797101449275363,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,3.2188758248682006,10.219207003460745,8,3,24,16.094379124341003,988588.5665459399,Low,High,High Risk,Go
COKOSOD.ID,RUKO SURAPATI CORE K17 LANTAI 1,cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,170,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.4973356233760515,41.06280193236715,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.876590909090909,1,0,0,0,5.14166355650266,10.219207003460745,8,3,24,23.170205681439715,988588.5665459399,Low,High,High Risk,Go
MANTES.ID RUMAH JAJAN,KOMPLEK DU F23,cibeunying kidul,3.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,309,0.02685002723534998,4.1062801932367154,0.14092570572951071,2.721627691901176,74.6376811594203,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.675,0,0,0,0,5.736572297479192,10.219207003460745,8,1,8,21.22531750067301,988588.5665459399,Medium,High,Medium Risk,Consider
KEDAI NDUL,JL. VILLA ASRI NO.3,cibeunying kidul,4.7,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,412,0.02685002723534998,4.1062801932367154,0.14092570572951071,3.628836922534901,99.5169082125604,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.925,1,0,0,0,6.023447592961033,10.219207003460745,8,3,24,28.310203686916857,988588.5665459399,Medium,High,High Risk,Go
NYABA COFFEE & CHIT-CHAT,JL. UTAMA 1 NO.45-46,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,33,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.2906592680671159,7.971014492753624,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,3.5263605246161616,10.219207003460745,1,3,3,17.63180262308081,988588.5665459399,Low,High,High Risk,Go
COFFEE UNIVERSITY,JL. CIKUTRA NO.204A,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,32,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.28185141145902143,7.729468599033817,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,3.4965075614664802,10.219207003460745,1,3,3,17.482537807332402,988588.5665459399,Low,High,High Risk,Go
WARUNG KOPI DAN INDOMIE,"GG. PELITA I NO.11, RT.3/RW.2",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,42,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.36992997753996565,10.144927536231885,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,3.7612001156935624,10.219207003460745,1,3,3,18.806000578467813,988588.5665459399,Low,High,High Risk,Go
MOI KITCHEN BANDUNG,4J5X+4FH,cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,7,0.02685002723534998,4.1062801932367154,0.14092570572951071,0.06165499625666094,1.6908212560386475,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,2.0794415416798357,10.219207003460745,8,3,24,10.39720770839918,988588.5665459399,Low,High,High Risk,Go
BARINGIN BARU,JL. CIKUTRA NO.130,cibeunying kidul,4.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,4758,0.02685002723534998,4.1062801932367154,0.14092570572951071,41.90778174131325,1149.2753623188407,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Medium,0.75,0,0,1,0,8.46779284112111,10.219207003460745,8,2,16,33.87117136448444,988588.5665459399,High,High,High Risk,Go
RESTO 9,"APARTEMEN GATEWAY CICADAS BLOK SAFIRE A NO 9 LANTAI G, KEL",cibeunying kidul,2.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Restaurant,574,0.02685002723534998,4.1062801932367154,0.14092570572951071,5.055709693046197,138.64734299516908,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.32499999999999996,0,0,0,0,6.354370040797351,10.219207003460745,8,0,0,14.615051093833905,988588.5665459399,Medium,High,Low Risk,Avoid
ORANJE CAFE,"APARTEMENT GATEWAY, JL. A. YANI BLOK GF A NO.16",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Cafe,128,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.1274056458360857,30.917874396135268,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.876590909090909,1,0,0,0,4.859812404361672,10.219207003460745,1,3,3,21.90008189856437,988588.5665459399,Low,High,High Risk,Go
KEDAI SATE MARANGGI PRIYANGAN.,JL. KHP HASAN MUSTOPA NO.139,cibeunying kidul,4.3,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,489,0.02685002723534998,4.1062801932367154,0.14092570572951071,4.307041881358171,118.11594202898551,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.825,0,0,0,0,6.194405391104672,10.219207003460745,8,2,16,26.63594318175009,988588.5665459399,Medium,High,High Risk,Go
EATMORE BURGER,JL. A. YANI NO.782,kiaracondong,4.8,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Fast Food,54,0.007609597224018933,6.206896551724138,0.12936315280832186,0.4109182500970224,9.310344827586206,838324.17,54.0,37.0,Very High,Medium,Very Low,0.95,1,1,0,0,4.007333185232471,10.028286364423748,4,3,12,19.23519928911586,1223500.14,Low,Low,Low Risk,Avoid
YUMM DIMSUM,GG. IRIT NO.4,cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Chinese Food,661,0.02685002723534998,4.1062801932367154,0.14092570572951071,5.821993217950412,159.66183574879227,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,0.925,1,0,0,0,6.495265555937008,10.219207003460745,2,3,6,30.52774811290394,988588.5665459399,High,High,High Risk,Go
WARUNG NASI DAN LOTEK IBU IHAT JL. UTAMA NO 65,"4M24+3MC, UNNAMED ROAD",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Local Food,193,0.02685002723534998,4.1062801932367154,0.14092570572951071,1.6999163253622231,46.61835748792271,549806.0065459397,36.04841784216546,20.04841784216546,High,Dense,Very Low,1.0,1,1,0,0,5.267858159063328,10.219207003460745,7,3,21,26.339290795316643,988588.5665459399,Medium,High,High Risk,Go
