id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude
1,32,JAWA BARAT,3273,KOTA BANDUNG,BREW & CHEW,JL. SUKABUMI NO.53,2020,Kacapiring,,-6.9178677,107.6329391
2,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE BALI,JL. L. L. R. E. MARTADINATA NO.211-215,2020,,,,
3,32,JAWA BARAT,3273,KOTA BANDUNG,ANJIS COFFEE,JL. BENGAWAN NO. 34,2020,Cihapit,,-6.9058488,107.6267213
4,32,JAWA BARAT,3273,KOTA BANDUNG,HEADKLIN BARBER & COFFEE HOUSE,JL. CIANJUR NO.12A,2020,,,,
5,32,JAWA BARAT,3273,KOTA BANDUNG,GARDEN COFFEE BDG,JL. BENGAWAN NO.7A,2020,,,,
