Unnamed: 0,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),place_id,google_rating,price_range_rupiah,business_status,processed_at
1891,THAI PALACE FUSION,JL. PAJAJARAN NO.113,cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ5ecC-F_naC4RRcwObMryJ6c,4.4,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:53:19
1892,PURNAWARMAN RESTAURANT,"LOBBY LEVEL, JL. HOS. COKROAMINOTO NO.41-43",cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJdQqkHT7maC4RmyyxbA6uBLE,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:53:20
1893,DRAGON HOT POT BANDUNG,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.23",cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHRe_mdbnaC4RF1cXo2LEJks,4.4,,OPERATIONAL,2025-06-28 21:53:22
1894,RIJSTTAFEL RESTO,JL. PASIR KALIKI NO.67,cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJpWhkYRXmaC4REHyC-PncG9c,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:53:23
1895,RESTORAN SEDERHANA SA PASIR KALIKI,JL. PASIR KALIKI NO.73,cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJg2jhZDTnaC4RwqmLrgX1ftI,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:53:24
1896,KATSUKAGE - SEMAR,JL. SEMAR NO.23,cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJs5q2Mv_naC4RG-EKtyCj5x4,4.3,,OPERATIONAL,2025-06-28 21:53:25
1897,BURGEL.ID,JL. PAJAJARAN,cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJO3sA2NLnaC4RjeB388fZCO4,,,OPERATIONAL,2025-06-28 21:53:26
1898,KRENCHISE HOT SPICY,JL. MANISI NO.117,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJU_U8ZijDaC4RNpusRFJbnFk,4,,OPERATIONAL,2025-06-28 21:53:27
1899,BURGER PONDOK,JL. EMBAH JAKSA NO.15,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJlcuzqtXCaC4R5OdbD2f9-ww,4.5,,OPERATIONAL,2025-06-28 21:53:27
1900,BAGEUR BURGER,JL. TERUSAN CIPADUNG,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHbwy_03DaC4RMztIjCTX4Y4,4.8,,CLOSED_TEMPORARILY,2025-06-28 21:53:28
1901,ALIBABA SUKI & GRILL,JL. DESA CIPADUNG NO.49,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJl4hkJW_DaC4RtDztN73fN08,4.6,,OPERATIONAL,2025-06-28 21:53:29
1902,'EAT AND I' CORNDOGS CORNER,JL. CIGAGAK NO.96,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ57jMbV3daC4RkeBMg_Yrc_Y,5,,OPERATIONAL,2025-06-28 21:53:30
1903,LIES RESTO,JL. DESA CIPADUNG NO.232,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJB3seKyvDaC4RDBrBqfOoJRw,4.5,,OPERATIONAL,2025-06-28 21:53:31
1904,OD-HURR CAFE AND RESTO,JL. DESA CIPADUNG NO.12,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcUvn353daC4Rk6kmAFYLfcc,4.9,,OPERATIONAL,2025-06-28 21:53:32
1905,SATE ADDICT,JL. TERUSAN SALUYU NO.42,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJVXWHMpLDaC4RskpodJJBfYs,5,,OPERATIONAL,2025-06-28 21:53:33
1906,FOOD BACKGROUND,JL. DAMIN II NO.53,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJVZ8TnXDdaC4R2WkkmuXCoxU,5,,CLOSED_PERMANENTLY,2025-06-28 21:53:34
1907,KAY CATERING BANDUNG,3PWC+C7W,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,76236.0,6.84,11145.61,ChIJw3mmhCTdaC4RR5qTaTW2qiE,5,,OPERATIONAL,2025-06-28 21:53:35
1908,AYAM GEPREK CHICKEN DINNER FOOD,JL. CILENGKRANG 1 NO.128,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJhaHtSHDdaC4Rtqc7y0AmPQ4,3.7,,OPERATIONAL,2025-06-28 21:53:36
1909,COΥNТER ЅEВLAĸ ТEН ΙNA,JL. CILENGKRANG 1 NO.23,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJQc6qRCndaC4RxFSQgiXWkXk,4.3,,OPERATIONAL,2025-06-28 21:53:37
1910,DIARY'S KITCHEN,JL. CIBIRU TONGGOH NO.21,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcXcip9_daC4R-vYbC4z6Bb8,,,OPERATIONAL,2025-06-28 21:53:38
1911,BMB BURGER BANDUNG,"PASKAL HYPER SQUARE, THE TRIPARK",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ76OTOvXnaC4REuxmrEfexq4,4.6,Rp 100.000 - 200.000,OPERATIONAL,2025-06-28 21:53:40
1912,THE WINDCHIME,"JL. ARJUNA 63A, RW.01",cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJjSjsbBPmaC4RqDtVY2z2Xpc,4.6,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:53:41
1913,SEJAHTERA RESTO,JL. CIKUTRA NO.212,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJa4PPar3naC4RA1OC-2lp5mI,4.6,,OPERATIONAL,2025-06-28 21:53:42
1914,CORNDOG FIMS_ID,GG. BINAAN II NO.5,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJXZTj9VHnaC4RVfQv-mspFxw,4.4,,OPERATIONAL,2025-06-28 21:53:43
1915,KHAYANGAN ASIAN FUSION FOOD,JALAN VILLA ASRI TENGAH V C 33,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ32pQrobnaC4RlvcgMSi_Mqg,5,,OPERATIONAL,2025-06-28 21:53:44
1916,"W FIMS_ID,NEGLASARI UTARA",GG. BINAAN II NO.5,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJpykWne7naC4RJPrl5BBwpfo,,,OPERATIONAL,2025-06-28 21:53:45
1917,BENTO KOPI CIKUTRA,GG. SEKEJATI 9 NO.74,cibeunying kaler,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJhQsEZgDnaC4Rngr8Yyu0JHA,4.3,,OPERATIONAL,2025-06-28 21:53:46
1918,BURGER MONJOE,JL. BOJONG KONENG NO.17A,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ0YLFTN7naC4RlAPIdbEKaOk,4.8,,OPERATIONAL,2025-06-28 21:53:47
1919,PANCAKE DURIAN KUY,4J4W+745,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJnUVXuuvnaC4RWN9onGTlNnI,5,,OPERATIONAL,2025-06-28 21:53:48
1920,INA COOKIES,JL. BOJONG KONENG ATAS NO.8,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJNwLGk6LnaC4RT7XETdNdTXw,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:53:49
1921,BEBZ BAR AND GRILL,JL. MANISI NO.117,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJvWxCbyjDaC4RNuLtd8jlVms,4,,OPERATIONAL,2025-06-28 21:53:50
1922,CATERING MURAH BANDUNG,JL. KUSUMA NUSANTARA I NO.5,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcYSDuw3daC4RDeeWzSzzJIE,,,OPERATIONAL,2025-06-28 21:53:52
1923,KEDAI POJOK CITARASA - KANTIN HALAL UIN BANDUNG,UNIVERSITAS ISLAM NEGERI,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ5eBbF9_DaC4REQRrc9X-EYg,5,,OPERATIONAL,2025-06-28 21:53:53
1924,DIMSUM 2711,JL. DESA CIPADUNG NO.121,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ-Vq-YV3daC4RTJ3mbR-2zv8,4,,OPERATIONAL,2025-06-28 21:53:54
1925,SUSHI JANDA,JL. A.H. NASUTION NO.115,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcYa-zNfCaC4Rw4yefD1MLE4,4.5,,OPERATIONAL,2025-06-28 21:53:55
1926,JAWA FOOD 968 LESEHAN KHAS JOGYAKARTA,"JL.TERUSAN PANYILEUKAN, GG. DARUSSALAM BPR 2 NO.31",cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJyQH8vCbmaC4Rs_MQC83Wgeo,4.8,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:53:56
1927,ARABIAN KEBAB CIPADUNG,JL. DESA CIPADUNG NO.232,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJB7XLPeLDaC4R7CgEOA1_BqQ,5,,OPERATIONAL,2025-06-28 21:53:57
1928,AHSAN CHICKEN CRISPY,JL. EMBAH JAKSA NO.233,cibiru,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJryCCvmvnaC4RwBgbX_WKlC4,5,,OPERATIONAL,2025-06-28 21:53:59
1929,PIZZA & BURGER ANANDA,JL. PADASUKA NO.127-129,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJt2gRpJrnaC4Rh7uGCpu8nMU,4.7,,OPERATIONAL,2025-06-28 21:54:00
1930,OHAYOO,JL. A. YANI,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ3wOp0AnnaC4RuhLVy9omA1I,,,OPERATIONAL,2025-06-28 21:54:01
1931,"NU'IKI - EAT, DRINK, BE CREATIVE","3JPP+MFV, JL. KEBONWARU SELATAN",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJodAuYT_naC4RiSqG7ItfLPU,5,,OPERATIONAL,2025-06-28 21:54:02
1932,THE IS CATERING,JL. WIRANTA NO.35,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJm61_5MbnaC4RKJRZZTR1h_k,4.2,,OPERATIONAL,2025-06-28 21:54:03
1933,CONTRAST COFFEE & ROASTERY,JL. CISADEA NO.26,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJuZKOMsnnaC4Rs5N7X7i64do,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:54:04
1934,AWUG CIBEUNYING,JL. A. YANI NO.361,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJVyPTocbnaC4RYN2nOVEcEwM,4.7,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:54:05
1935,LAOBAN BY UNCLE OSH KATAMSO,JL. BRIGADIR JEND. KATAMSO NO.25,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJx36HdQDnaC4Ru4jlEPf1kSk,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:54:06
1936,DILLA'S CATERING,"JL.PHH MUSTOPHA, GG. NEGLASARI UTARA GG. BINAAN III NO.17",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ7eua4LTnaC4RvuPuVySfBe8,5,,OPERATIONAL,2025-06-28 21:54:07
1937,COKOSOD.ID,RUKO SURAPATI CORE K17 LANTAI 1,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHWD2UJbnaC4RFbXe-EKPDXw,,,OPERATIONAL,2025-06-28 21:54:08
1938,MANTES.ID RUMAH JAJAN,KOMPLEK DU F23,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJX59AoEXnaC4RAVPRzTL6Zd8,3.7,,OPERATIONAL,2025-06-28 21:54:09
1939,KEDAI NDUL,JL. VILLA ASRI NO.3,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ8-0TbiznaC4RNCUHMThJFrs,4.7,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:54:10
1940,NYABA COFFEE & CHIT-CHAT,JL. UTAMA 1 NO.45-46,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ71JeW0_naC4RCMlTISjR7c4,5,,OPERATIONAL,2025-06-28 21:54:12
1941,COFFEE UNIVERSITY,JL. CIKUTRA NO.204A,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJSVRiYYrnaC4RgEQmKe2YggI,5,,CLOSED_PERMANENTLY,2025-06-28 21:54:13
1942,WARUNG KOPI DAN INDOMIE,"GG. PELITA I NO.11, RT.3/RW.2",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJMRANMJ3naC4RowVvoie2aO4,5,,OPERATIONAL,2025-06-28 21:54:14
1943,MOI KITCHEN BANDUNG,4J5X+4FH,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJM9NWNkjnaC4RuCnJ10_NDp8,5,,OPERATIONAL,2025-06-28 21:54:15
1944,BARINGIN BARU,JL. CIKUTRA NO.130,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJRzPwC77naC4R7xcQlMYaOIU,4,,OPERATIONAL,2025-06-28 21:54:16
1945,RESTO 9,"APARTEMEN GATEWAY CICADAS BLOK SAFIRE A NO 9 LANTAI G, KEL",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJDXxUKsbnaC4Req584R-aQjI,2.3,,OPERATIONAL,2025-06-28 21:54:17
1946,ORANJE CAFE,"APARTEMENT GATEWAY, JL. A. YANI BLOK GF A NO.16",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJwRoPGcDnaC4RkFuvZ-ZcLhc,,,OPERATIONAL,2025-06-28 21:54:18
1947,KEDAI SATE MARANGGI PRIYANGAN.,JL. KHP HASAN MUSTOPA NO.139,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJIcwD_3LoaC4RZSX_9dZwY6A,4.3,,OPERATIONAL,2025-06-28 21:54:19
1948,EATMORE BURGER,JL. A. YANI NO.782,kiaracondong,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJOx5tkDPlaC4R28u27MsXgcA,4.8,,OPERATIONAL,2025-06-28 21:54:20
1949,YUMM DIMSUM,GG. IRIT NO.4,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJVyL-Og3naC4RY-faQnFYQvA,4.7,,OPERATIONAL,2025-06-28 21:54:21
1950,WARUNG NASI DAN LOTEK IBU IHAT JL. UTAMA NO 65,"4M24+3MC, UNNAMED ROAD",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJtQwkW9fnaC4RzJzl25F6Qsw,5,,OPERATIONAL,2025-06-28 21:54:22
1951,RUMAH MAKAN BU ELLEN,"SURAPATI CORE, JL. KHP HASAN MUSTOPA BLOK K NO.16",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJhxtCZZHnaC4RgkG24SrwKSc,,,OPERATIONAL,2025-06-28 21:54:24
1952,FRIEND CHICKEN PASIR LEUTIK,JL. ASRI NO.15,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJsVrmAADnaC4R9ayBNFc7K1Y,3.7,,OPERATIONAL,2025-06-28 21:54:25
1953,BURGER PHK,JL. PADASUKA NO.50,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJFx2LmRHnaC4Rkp_22-sIdaw,5,,OPERATIONAL,2025-06-28 21:54:26
1954,MAKAN-IN!,"KOMPLEKS BUMI ASRI, JL. TUGU ASRI NO.A5",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJQffk25_naC4RyZZnijQKOew,,,OPERATIONAL,2025-06-28 21:54:27
1955,PESTA PIZZA (BANDUNG ERA SENTRA TALENTA. PT),"JL. PENGHULU HAJI HASAN MUSTOPA NO.39, GRAND SURAPATI CORE,
  GRAHA DFI, 2ND FLOOR",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJIT9U3ZPnaC4RO1rFSTkEy1Q,,,OPERATIONAL,2025-06-28 21:54:28
1956,WARUNG JANARI,JL. KHP HASAN MUSTOPA NO.16,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJf2C1HafnaC4R7LnddP_zdIU,5,,CLOSED_PERMANENTLY,2025-06-28 21:54:29
1957,499 RESTORAN,JL. A. YANI NO.687,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcUL9uernaC4Rx7VzUbLCZp8,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:54:30
1958,ESSA BAR & DRINK,JL. KHP HASAN MUSTOPA NO.212,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJC59a3YPnaC4R_qcWT8yDX9o,,,OPERATIONAL,2025-06-28 21:54:31
1959,TEA IS BANDUNG,"3MX3+344, JL. KHP HASAN MUSTOPA",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJFf-8NIDnaC4RmUXtxqD5xAk,3,,OPERATIONAL,2025-06-28 21:54:32
1960,SEWANGI KOPI INDONESIA,"APARTEMEN GATEWAY, JL. A. YANI NO.669 LG A.7A",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJFa2iJqznaC4RJ_XnfA_J3ac,5,,OPERATIONAL,2025-06-28 21:54:33
1961,WARUNG HDHT,JL. SETIA NO.18,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ0bEvLgDnaC4RGp7V3jtERA8,5,,OPERATIONAL,2025-06-28 21:54:34
1962,ZUPA SOUP,GG. SUKAPADA I NO.80,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ9yD4-1XnaC4RaudA3t9dzds,5,,OPERATIONAL,2025-06-28 21:54:35
1963,STEAMBOAT BOOTAN,"3JQP+29G, GG. SUNARYO",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ3Sz3zcXnaC4RXkQ3Zgqgeh0,5,,OPERATIONAL,2025-06-28 21:54:36
1964,EVERYTHING FOOD,3JVW+94R,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJOVFrqurnaC4RhNcZnUTGlaI,4.8,,OPERATIONAL,2025-06-28 21:54:37
1965,WARUNG SOTO DAN DIMSUM GAYA,"JL. NEGLASARI SELATAN NO.41 RT07, RW.13",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJp_sLtbXnaC4RvOs01vhlKBI,,,OPERATIONAL,2025-06-28 21:54:38
1966,MM FRIED CHICKEN,"APARTEMENT GATEWAY, JL. A. YANI LANTAI GF BLOK C NO 19",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJnRWXGsDnaC4Rz96L0adgOP4,,,OPERATIONAL,2025-06-28 21:54:39
1967,MAFAAZA CHICKEN PADASUKA,JL. KHP HASAN MUSTOPA NO.228-224,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJldswG5PnaC4RwMFs580gfN4,,,OPERATIONAL,2025-06-28 21:54:40
1968,CHICKEN FIRE CHEESE,JL. BBK. H. TAMIM NO.26,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJa2qcnNHnaC4RzEUOsxB_W1U,5,,OPERATIONAL,2025-06-28 21:54:41
1969,START UP UFO BURGER CICADAS,JL. BBK. H. TAMIM JL. A. YANI NO.26,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJfamN9cvnaC4R1AwiOh6qMYs,,,OPERATIONAL,2025-06-28 21:54:43
1970,JOEY'S HOAGIE,"APARTEMENT GATEWAY, JL. JEND. A. YANI NO.669, PADASUKA,
  CIBEUNYING KIDUL",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJL0koWcrnaC4RJZukYInLOD4,4.8,,OPERATIONAL,2025-06-28 21:54:44
1971,AYAM SOX,JL. BRIGADIR JEND. KATAMSO NO.19B,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJh3p71RHnaC4RBHus6A2TtjM,5,,OPERATIONAL,2025-06-28 21:54:45
1972,BANTEN PRIDE,"3JVR+P2P, GG. SUKARELA",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJS4H6OwLnaC4RQSqRVPubxb8,5,,OPERATIONAL,2025-06-28 21:54:46
1973,W19 SOCIAL BAR,"4J2Q+8VR, JL. KHP HASAN MUSTOPA",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJyQVHQKvnaC4R6rarz71H0ng,,,OPERATIONAL,2025-06-28 21:54:47
1974,DRAW COFFEE,JL. KHP HASAN MUSTOPA NO.54,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJi9wi7znnaC4RFZd4NiFypV8,4.6,,OPERATIONAL,2025-06-28 21:54:48
1975,OICOFFEE_,JALAN BRIGJEN JL. TERUSAN KATAMSO NO.18,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJS2POYgHnaC4RonnWzJdW5Po,,,OPERATIONAL,2025-06-28 21:54:49
1976,KOPI IDIOT,JL. SEKEPANJANG 2 NO.17B,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJIxQCwYXnaC4R6Wajqi5o5iU,4,,OPERATIONAL,2025-06-28 21:54:50
1977,BLACK INSOMNIA COFFEE,JL. TERUSAN KATAMSO NO.151B,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ4R0C7rvnaC4RK7Nemqw_Hpk,4.6,Rp 15.000 - 50.000,CLOSED_TEMPORARILY,2025-06-28 21:54:51
1978,RUMAH MAKAN BU WIN,JL. CIKUTRA NO.91,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJv2tZEr7naC4RUSX9zseBNWw,4,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:54:52
1979,MAKAN MIE,JL. PAHLAWAN NO.24,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ9fzaYrrnaC4Rr1yacRACGt4,4,,OPERATIONAL,2025-06-28 21:54:53
1980,BEELICIOUS RICEBOWL,JL. PAHLAWAN,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJu2FskePnaC4RzhwyNmMWkRs,,,OPERATIONAL,2025-06-28 21:54:54
1981,CALIFORNIA FRIED CHICKEN,"GRIYA PAHLAWAN, JL. PAHLAWAN LT.3",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJJVT_myznaC4RNZYe5dhTXVQ,3,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:54:55
1982,WARUNG JAVA,JL. KHP HASAN MUSTOPA NO.68,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJGy7gabznaC4Rb8oJ9pZr5C0,4,,OPERATIONAL,2025-06-28 21:54:56
1983,MIE MERAPI PAHLAWAN,JL. PAHLAWAN NO.43,cibeunying kaler,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJFaq_YrrnaC4RvMA1LsnVk0E,4.3,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:54:57
1984,PHOPHO KITCHEN BANDUNG,JL. H. SYAHRONI GG.CENDRAWASIH I NO.42,cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJzVXaGCTnaC4RQBwoyOr1cCE,,,CLOSED_TEMPORARILY,2025-06-28 21:54:58
1985,RISS MANIS,"CIKUTRA, CIBEUNYING KIDUL, BANDUNG CITY, WEST JAVA 40124",cibeunying kidul,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,113535.0,4.14,27423.91,ChIJz-kCXzbnaC4Rf2YLSG5pOU0,,,OPERATIONAL,2025-06-28 21:54:59
1986,SWARMA KEBAB,JL. CIKUTRA BARAT NO.9,cibeunying kaler,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ-9NxWVXnaC4RdYWnUmOAd6k,,,OPERATIONAL,2025-06-28 21:55:03
1987,WARUNG MAKAN MBA IRAH,JL. SAPUJAGAT NO.23-73,cibeunying kaler,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJq-7_GzfnaC4RnpnQi0yGTZk,,,OPERATIONAL,2025-06-28 21:55:04
