,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
37,BLOSSOM,JL. IR. H. JUANDA NO. 112,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
38,MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
39,MORNING DEW FACTORY OUTLET,JL. IR. H. JUANDA NO. 81,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
40,PABERIK BADJOE FACTORY OUTLET,JL. SOEKARNO HATTA NO. 573,batununggal,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,121469.0,4.82,25201.04
41,BANDARBAJU.COM PUSAT BISNIS BAJU MURAH BANDUNG,JL. ANGKASA MEKAR NO. 88,babakan ciparay,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,143651.0,7.07,20318.39
42,FACTORY OUTLET STORE,JL. DR. SETIABUDI 73,cidadap,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,54680.0,8.42,6494.06
43,THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
44,CARGO FACTORY OUTLET,JL. DIPONEGORO NO. 30,cibeunying kaler,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,70662.0,4.64,15228.88
45,ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
46,HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
47,PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
48,EST FACTORY OUTLET,JL. SUMATERA NO. 28-30,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
49,DSE FACTORY OUTLET,JL. MERDEKA NO. 35,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
50,ADIDAS OUTLET STORE,JL. SOEKARNO HATTA NO. 57355,batununggal,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,121469.0,4.82,25201.04
51,THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
52,ADIDAS OUTLET DAGO,JL. IR H. JUANDA NO. 123,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
