id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_taman,lokasi,luas,satuan,tahun
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN ATAMBUA,JL. ATAMBUA,664,METER PERSEGI,2017
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN CIKAMPEK,JL. CIKAMPEK BLOK 9,624,METER PERSEGI,2017
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN SRAGEN-KLATEN,JL. SRAGEN-KLATEN,489,METER PERSEGI,2017
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN TERUSAN JALAN JAKARTA,JL. TERUSAN JAKARTA BARAT,343,METER PERSEGI,2017
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN KUNINGAN BLOK 20,JL. KUNINGAN 6-8,252,METER PERSEGI,2017
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN JATIWANGI BLOK 26,JL. JATIWANGI 10,237,METER PERSEGI,2017
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN KADIPATEN BLOK 12,JL. KADIPATEN 5,237,METER PERSEGI,2017
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN PRANAYA 2,JL. RAYA PRANAYA,170,METER PERSEGI,2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN PRATISTA BARAT II,JL. PRATISTA BARAT II,113,METER PERSEGI,2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN BLOK D-39,-,104.32,METER PERSEGI,2017
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN PRANAYA 1,JL. ANTAPANI-SOEKARNO HATTA,89,METER PERSEGI,2017
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN PRATISTA BARAT I,JL. PRATISTA BARAT I,51,METER PERSEGI,2017
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN GERBANG PRANAYA,JL. PINTU GERBANG,49.23,METER PERSEGI,2017
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN PRATISTA RAYA,JL. PRATISTA RAYA,34.89,METER PERSEGI,2017
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN LAPANGAN PACUAN KUDA,-,665000,METER PERSEGI,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN SKI AIR,JL. SKI AIR-LAYAR,7139.78,METER PERSEGI,2017
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN TERBANG LAYANG I,JL. TERBANG LAYANG I,1338,METER PERSEGI,2017
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GOLF BARAT XIII,JL. GOLF BARAT XIII,940,METER PERSEGI,2017
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GOLF BARAT 2 A,JL. GOLF BARAT II,839.91,METER PERSEGI,2017
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN AEROMODELING,JL. AEROMEDELLING,816,METER PERSEGI,2017
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK III,-,810.05,METER PERSEGI,2017
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK II,-,740.33,METER PERSEGI,2017
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN BOWLING,JL. BOWLING-LONCAT INDAH,732.12,METER PERSEGI,2017
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK IV,-,660,METER PERSEGI,2017
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK V,-,616,METER PERSEGI,2017
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK XVIII,-,599.61,METER PERSEGI,2017
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN HOCKY,JL. HOCKY-SEPAKBOLA,442,METER PERSEGI,2017
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK VII,-,440.06,METER PERSEGI,2017
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN TAEKONDO-KEMPO,JL. TAEKWONDO-KEMPO,396,METER PERSEGI,2017
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN TENIS,JL. TENIS,390,METER PERSEGI,2017
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN TERBANG LAYANG II,JL. TERANG LAYANG,375.46,METER PERSEGI,2017
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ARCAMANIK I,-,374,METER PERSEGI,2017
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN AEROMODELING IV,JL. AEROMEDELLING IV,338,METER PERSEGI,2017
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN POLO AIR,JL. TERS. TENIS-POLO AIR,328.32,METER PERSEGI,2017
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GOLF BARAT 2 C,JL. GOLF BARAT II,325,METER PERSEGI,2017
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ICE SKATING I,JL. ICE SKATING,325,METER PERSEGI,2017
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN DIRGANTARA,JL. DIRGANTARA,321.22,METER PERSEGI,2017
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN DIRGANTARA,JL. DIRGANTARA,315,METER PERSEGI,2017
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN ICE SKATING I,JL. ICE SKATING,312,METER PERSEGI,2017
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN SUDUT ARCAMANIK,JL. RAYA UJUNG BERUNG-ARCAMANIK,286.44,METER PERSEGI,2017
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN BALON UDARA,JL. BALON UDARA,242,METER PERSEGI,2017
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GOLF BARAT 2 B,JL. GOLF BARAT II,212,METER PERSEGI,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN TERJUN TENDOM,JL. TERJUN TENDOM,208,METER PERSEGI,2017
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN RW JL. CICUKANG KEL. CISARANTEN BINA HARAPAN,JL. CICUKANG,200,METER PERSEGI,2017
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GANTOLE,JL. GANTOLE,192.89,METER PERSEGI,2017
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN AEROMODELING III,JL. AEROMEDELLING III,185,METER PERSEGI,2017
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN RW. 09 KOMP. GURUMINDA KEL. CISARANTEN KULON,JL. CISARANTEN KULON,170,METER PERSEGI,2017
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN GANTOLE-DIRGANTARA,JL. GANTOLE-DIRGANTARA,75,METER PERSEGI,2017
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TAMAN BULU TANGKIS,JL. ATLET-BOWLING-BULUTANGKIS,69,METER PERSEGI,2017
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN BABAKAN SUKAMAJU,JL. BABAKAN,7907.35,METER PERSEGI,2017
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN PAJAGALAN II,JL. PAJAGALAN,746.9,METER PERSEGI,2017
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN INHOFTANK,JL. INHOFTANK,112.77,METER PERSEGI,2017
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN RW.05 KEL. NYENGSERET,KELURAHAN NYENGSERET,80,METER PERSEGI,2017
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN ASTANA ANYAR,JL. ASTANA ANYAR,56.89,METER PERSEGI,2017
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN PAJAGALAN I,JL. PAJAGALAN,49.7,METER PERSEGI,2017
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TAMAN RW.04 KEL. NYENGSERET,KELURAHAN NYENGSERET,40,METER PERSEGI,2017
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TAMAN LINGKUNGAN PERUMAHAN SUMBER SARI,JL. SUMBER SARI,2973,METER PERSEGI,2017
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TAMAN RW.04 KEL. SUKAHAJI,KELURAHAN SUKAHAJI,70,METER PERSEGI,2017
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TAMAN CARINGIN,JL. CARINGIN,63,METER PERSEGI,2017
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN 5,JL. BATUNUNGGAL ELOK,4855,METER PERSEGI,2017
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN 3,JL. BATUNUNGGAL INDAH,3720,METER PERSEGI,2017
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 9,SELATAN LAPANG TENIS,2795,METER PERSEGI,2017
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN 2,JL. BATUNUNGGAL PERMAI,1794,METER PERSEGI,2017
96,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN 1,JL. BATUNUNGGAL PERMAI II,1646,METER PERSEGI,2017
97,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 7,TIMUR LAPANG TENIS,1182,METER PERSEGI,2017
98,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 3,JL. UTAMA,1165,METER PERSEGI,2017
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 5,JL. SANGGAR UTAMA,845,METER PERSEGI,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 10,JL. GADING UTAMA TIMUR,810,METER PERSEGI,2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 4,JL. SANGGAR UTAMA,691,METER PERSEGI,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 2,JL. GADING BARAT 2,621,METER PERSEGI,2017
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN 4,JL. BATUNUNGGAL INDAH II,617,METER PERSEGI,2017
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 8,BARAT LAPANG TENIS,595,METER PERSEGI,2017
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 3,JL. SANGGAR UTAMA,565,METER PERSEGI,2017
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN BATU PERMATA,JL. BATU PERMATA II,530,METER PERSEGI,2017
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 6,JL. SANGGAR KENCANA 5,480,METER PERSEGI,2017
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 2,JL. SANGGAR KENCANA TIMUR,452,METER PERSEGI,2017
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 4,PINTU GERBANG,436,METER PERSEGI,2017
110,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 1,JL. GADING BARAT 4,416,METER PERSEGI,2017
111,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 11,SEBELAH RUKAN BLOK A DAN B,376,METER PERSEGI,2017
112,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN SANGGAR HURIP 1,JL. SANGGAR KENCANA TIMUR,330,METER PERSEGI,2017
113,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 5,DEPAN KANTOR PEMASARAN,235,METER PERSEGI,2017
114,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN GADING 6,JL. GADING BARAT 4,214,METER PERSEGI,2017
115,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,PULAU JALAN SAMSAT,JL. SOEKARNO HATTA DEPAN SAMSAT,124,METER PERSEGI,2017
116,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN PANDAN WANGI,JL. KOMP. PANDAN WANGI,70,METER PERSEGI,2017
117,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TAMAN H. BARDAN,JL. H. BARDAN VIII,32,METER PERSEGI,2017
