id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude,type
8492,32,JAWA BARAT,3273,KOTA BANDUNG,TIGA WONTON PVJ BANDUNG,PARIS VAN JAVA,2024,Pasteur,Kabupaten Bandung,-6.8890732,107.5960928,restaurant
8502,32,JAWA BARAT,3273,KOTA BANDUNG,BING SOO KOREAN FOOD CAFE,JL. BUNGUR NO.25,2024,Desa Babakan,Kabupaten Bandung,-7.0808882,107.6936061,restaurant
8511,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI SUNDAE'MI,JL. SUKAGALIH II,2024,Cipedes,Kabupaten Bandung,-6.8918086,107.5948648,restaurant
8520,32,JAWA BARAT,3273,KOTA BANDUNG,FACHOCO MACARON PVJ MALL,PARIS VAN JAVA,2024,Pasteur,Kabupaten Bandung,-6.8890732,107.5960928,restaurant
8533,32,JAWA BARAT,3273,KOTA BANDUNG,HAENG-UN KOREAN BBQ & HOMEMADE DISHES,PARIS VAN JAVA,2024,Pasteur,Kabupaten Bandung,-6.8890732,107.5960928,restaurant
8556,32,JAWA BARAT,3273,KOTA BANDUNG,PAPAYA FRESH GALLERY BANDUNG,JL. SUKAASIH NO.1,2024,Sindangjaya,Kabupaten Bandung,-6.9009694,107.6846094,restaurant
8561,32,JAWA BARAT,3273,KOTA BANDUNG,"KAKKOII ALL YOU CAN EAT JAPANESE BBQ & SHABU - SHABU,
  BANDUNG",JL. KARANGSARI NO.14,2024,Campaka,Kabupaten Bandung,-6.9082405,107.5677132,restaurant
8573,32,JAWA BARAT,3273,KOTA BANDUNG,EIGHTEEN COFFEE BANDUNG,JL. CEMARA NO.46,2024,Cipagalo,Kabupaten Bandung,-6.9684224,107.6457592,restaurant
8574,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE MIDAN,JL. SUKAMAJU,2024,Sukamaju,Kabupaten Bandung,-6.9082179,107.6323198,restaurant
8581,32,JAWA BARAT,3273,KOTA BANDUNG,SENUSA RESTO,JL. KARANGSARI NO.16,2024,Campaka,Kabupaten Bandung,-6.9082405,107.5677132,restaurant
8588,32,JAWA BARAT,3273,KOTA BANDUNG,TURKISH RESTO,JL. SUKAMAJU NO.19,2024,Sukamaju,Kabupaten Bandung,-6.9082179,107.6323198,restaurant
8589,32,JAWA BARAT,3273,KOTA BANDUNG,BUKHARY UZBEK RESTO,JL. SUKAMAJU NO.21,2024,Sukamaju,Kabupaten Bandung,-6.9082179,107.6323198,restaurant
8592,32,JAWA BARAT,3273,KOTA BANDUNG,"HI, BREW!",JL. BOSCHA NO.43,2024,Pasteur,Kabupaten Bandung,-6.8884537,107.6015662,restaurant
8595,32,JAWA BARAT,3273,KOTA BANDUNG,BURGER BURDER,JL. BOSCHA NO.24,2024,Pasteur,Kabupaten Bandung,-6.8884537,107.6015662,restaurant
8602,32,JAWA BARAT,3273,KOTA BANDUNG,DURIAN GORENG KURAYU,JALAN SUKAJADI NO.8A SUKABUNGAH,2024,Sukabungah,Kabupaten Bandung,-6.8948485,107.5971647,restaurant
8603,32,JAWA BARAT,3273,KOTA BANDUNG,PASADENA STEAK BANDUNG,JL. SUKAMAJU NO.33,2024,Sukamaju,Kabupaten Bandung,-6.9082179,107.6323198,restaurant
8605,32,JAWA BARAT,3273,KOTA BANDUNG,PIZZA-PIZA BY FACS.CO,JL. JURANG NO.66,2024,Pasteur,Kabupaten Bandung,-6.8873092,107.6005875,restaurant
