nama,alamat,kecamatan,kelurahan,latitude,longitude,tahun,type,additional_info,source_dataset
TOKO SEPATU BATA,JL. RAYA BOJONGSOANG NO. 67,Bandung Wetan,Lengkong,-6.980270511895414,107.63344458073256,2021,tourism_shopping_place,,wisata_belanja
UNIVERSAL FOOTWEAR,JL. CIKONENG NO. 46,Bandung Wetan,Lengkong,-6.983099913512733,107.64128579399384,2021,tourism_shopping_place,,wisata_belanja
WIDELY PROJECT,JL. L. L. R. E. MARTADINATA NO. 107,Bandung Wetan,Citarum,-6.904229021401132,107.62179519715473,2021,tourism_shopping_place,,wisata_belanja
KENARI FABRIC OUTLET,JL. KENARI NO. 14,Bandung Wetan,Citarum,-6.909063594617352,107.6114076057886,2021,tourism_shopping_place,,wisata_belanja
FACTORY OUTLET HILTON,JL. TERUSAN KOPO KM. 11 NO. 76,Bandung Wetan,Mekar Rahayu,-6.979701495649215,107.56012411140924,2021,tourism_shopping_place,,wisata_belanja
MARYJANE STORE,JL. SULTAN TIRTAYASA NO.15,Bandung Wetan,Citarum,-6.901828702482074,107.6140612049914,2021,tourism_shopping_place,,wisata_belanja
DAUKY FASHION HIJAB PASTEUR,JL. SUKARAJA ISTANA PASTTEUR REGENCY CRA49,Bandung Wetan,Sukawarna,-6.890443329897997,107.57501695629664,2021,tourism_shopping_place,,wisata_belanja
GILDAN BANDUNG,JL. TM. CIBEUNYIN SEL,Bandung Wetan,Cihapit,-6.907920493493678,107.6267507288954,2021,tourism_shopping_place,,wisata_belanja
GUDANG JAM BANDUNG,JL. TERNATE NO. 29,Bandung Wetan,Citarum,-6.907119693360329,107.61384598962664,2021,tourism_shopping_place,,wisata_belanja
SCREAMOUS SHOPHOUSE,JL. GEUSAN ULUN NO. 01,Bandung Wetan,Citarum,-6.904158617952064,107.61186666876148,2021,tourism_shopping_place,,wisata_belanja
WORMHOLE STORE,JL. BAHUREKSA NO. 27,Bandung Wetan,Citarum,-6.904489908112416,107.61611509084688,2021,tourism_shopping_place,,wisata_belanja
347 STORE,JL. TRUNOJOYO NO. 4,Bandung Wetan,Citarum,-6.905664882299723,107.6130501573672,2021,tourism_shopping_place,,wisata_belanja
