id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,kategori,jumlah,satuan,tahun
49,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,32859890730,RUPIAH,2019
50,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,26154498799,RUPIAH,2019
51,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,25231181804,RUPIAH,2019
52,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,28531380605,RUPIAH,2019
53,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,28614544212,RUPIAH,2019
54,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,30650907082,RUPIAH,2019
55,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,33892234435,RUPIAH,2019
56,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RESTORAN,29503332770,RUPIAH,2019
57,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RESTORAN,28971388128,RUPIAH,2019
58,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RESTORAN,28377723797,RUPIAH,2019
59,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RESTORAN,28186109088,RUPIAH,2019
60,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RESTORAN,30546069823,RUPIAH,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KATERING,409035555,RUPIAH,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KATERING,532750603,RUPIAH,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KATERING,767527518,RUPIAH,2019
64,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KATERING,975655475,RUPIAH,2019
65,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KATERING,1114654928,RUPIAH,2019
66,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KATERING,604335131,RUPIAH,2019
67,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KATERING,1072571456,RUPIAH,2019
68,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KATERING,1125714436,RUPIAH,2019
69,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KATERING,1284698432,RUPIAH,2019
70,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KATERING,1398282933,RUPIAH,2019
71,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KATERING,1865927198,RUPIAH,2019
72,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KATERING,2231215164,RUPIAH,2019
73,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RUMAH MAKAN,309161322,RUPIAH,2020
74,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RUMAH MAKAN,272248517,RUPIAH,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RUMAH MAKAN,232815006,RUPIAH,2020
76,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RUMAH MAKAN,135317076,RUPIAH,2020
77,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RUMAH MAKAN,12367510,RUPIAH,2020
78,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RUMAH MAKAN,22561301,RUPIAH,2020
