nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
ZUKI SUKI PARIS VAN JAVA,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139 LT.RL",Kecamatan Sukajadi,restaurant,,,
THE ALLUVIA - TAPAS & DRINK,"PARIS VAN JAVA, THE ALLUVIA TAPAS & DRINKS PVJ - RESORT
  LIFESTYLE PLACE, UNIT SKYLEVEL-1-20",Kecamatan Sukajadi,restaurant,,,
BEAUTY IN THE POT AT PARIS VAN JAVA,"PARIS VAN JAVA MALL SKY LEVEL, SL-05A, JL. SUKAJADI NO.131-139",Kecamatan Sukajadi,restaurant,,,
JIGANASUKI,JL. SUKAJADI NO.201,Kecamatan Sukajadi,restaurant,,,
KEDAI SUNDAE'MI,JL. SUKAGALIH II,Kecamatan Sukajadi,restaurant,,,
SUSHI HIRO • PARIS VAN JAVA,"PARIS VAN JAVA, JL. SUKAJADI",Kecamatan Sukajadi,restaurant,,,
MARUGAME UDON,"PARIS VAN JAVA, LANTAI GF, JL. SUKAJADI NO.131-139",Kecamatan Sukajadi,restaurant,,,
SOUR SALLY • PVJ MALL,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139 LANTAI RL",Kecamatan Sukajadi,restaurant,,,
KARI KARE,"PARIS VAN JAVA, JALAN SUKAJADI NO.131 CIPEDES KECAMATAN
  SUKAJADI PARIS VAN JAVA CONCOURSE LEVEL (CL",Kecamatan Sukajadi,restaurant,,,
PRESSNPLAY,JL. KARANG LAYUNG NO.24,Kecamatan Sukajadi,restaurant,,,
FISH & CO. - PVJ,JL. SUKAJADI NO.137-139,Kecamatan Sukajadi,restaurant,,,
ARABIAN KEBAB JLN.K.TINEUNG,JL. KARANG TINEUNG NO.1,Kecamatan Sukajadi,restaurant,,,
SOLARIA • PVJ,"SOLARIA PARIS VAN JAVA MALL LANTAI LG, JL. SUKAJADI NO.137/139",Kecamatan Sukajadi,restaurant,,,
ARAH COFFEE PASUNDAN,JL. SUKAJADI NO.204,Kecamatan Sukajadi,restaurant,,,
KOPI IN,JL. KARANG TINGGAL NO.30,Kecamatan Sukajadi,restaurant,,,
RM SAUNG BALE KAMBANG,JL. BUNGUR NO.2,Kecamatan Sukajadi,restaurant,,,
DERMAGA AYCE,JL. BUNGUR NO.2,Kecamatan Sukajadi,restaurant,,,
TIGA WONTON PVJ BANDUNG,PARIS VAN JAVA,Kecamatan Sukajadi,restaurant,,,
THE DUCK KING,"PARIS VAN JAVA LT. GF UNIT C18 NO. 137, JL. SUKAJADI
  NO.131-139",Kecamatan Sukajadi,restaurant,,,
DEJUVE LITTLE TAIWAN.ID,JL.SUKAJADI 137-139 - PARIS VAN JAVA MALL - UNIT SL 11D,Kecamatan Sukajadi,restaurant,,,
BAO DIMSUM PVJ,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139 UNIT RL C.15",Kecamatan Sukajadi,restaurant,,,
TA WAN - PARIS VAN JAVA,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139",Kecamatan Sukajadi,restaurant,,,
DIMSUM RIZKY,JL. SUKAGALIH II NO.24,Kecamatan Sukajadi,restaurant,,,
YO! NOODLE,"RESORT LEVEL, UNIT RL, PARIS VAN JAVA, B-66, LG",Kecamatan Sukajadi,restaurant,,,
LAO DIMSUM,"PARIS VAN JAVA, GF , JL. SUKAJADI NO. 137-138 , CIPEDES ,
  40162 BANDUNG , SUKAJADI , JAWA BARAT",Sukajadi,restaurant,103066.0,5.28,19520.08
REMPAH BISTRO,"PARIS VAN JAVA, JL. SUKAJADI NO.131 - 139",Kecamatan Sukajadi,restaurant,,,
ZENBU RESTO,"PARIS VAN JAVA, MALL PARIS VAN RL- B-59",Kecamatan Sukajadi,restaurant,,,
BING SOO KOREAN FOOD CAFE,JL. BUNGUR NO.25,Kecamatan Sukajadi,restaurant,,,
DJOURNAL COFFEE MALL PARIS VAN JAVA,JL. SUKAJADI NO.137,Kecamatan Sukajadi,restaurant,,,
SUSHI TEI PARIS VAN JAVA,PARIS VAN JAVA MALL SL-25,Kecamatan Sukajadi,restaurant,,,
KASUGAI FAMILY RESTO,"PARIS VAN JAVA MALL CONCOURSE LEVEL, UNIT CL-06",Kecamatan Sukajadi,restaurant,,,
RAMENYA! PVJ,JL. SUKAJADI NO.131-139,Kecamatan Sukajadi,restaurant,,,
TJENDANA BISTRO,JL. SUKAJADI NO.181,Kecamatan Sukajadi,restaurant,,,
TIPZY BAR BDG,JL. SUKAJADI NO.173A,Kecamatan Sukajadi,restaurant,,,
DK13 BAR & RESTO,JL. SUKAJADI NO.173A,Kecamatan Sukajadi,restaurant,,,
SALADBAR HADIKITCHEN (PARIS VAN JAVA),PARIS VAN JAVA,Kecamatan Sukajadi,restaurant,,,
MIA CATERING,JL. KARANG TINEUNG INDAH II NO.22,Kecamatan Sukajadi,restaurant,,,
"FORE COFFEE - PARIS VAN JAVA, BANDUNG","PARIS VAN JAVA, LANTAI DASAR UNIT RC-L-21, JL. SUKAJADI
  NO.131-139",Kecamatan Sukajadi,restaurant,,,
ADIEU CAFÉ,JL. KARANG TINGGAL NO.28,Kecamatan Sukajadi,restaurant,,,
SALAD POINT ID PARIS VAN JAVA,PARIS VAN JAVA,Kecamatan Sukajadi,restaurant,,,
IS COFFEE,"PARIS VAN JAVA, JL. SUKAJADI NO.117",Kecamatan Sukajadi,restaurant,,,
2 TANG CAFE,"PARIS VAN JAVA, JL. SUKAJADI BLOK I NO.131-139 SKY LEVEL NO. 6",Kecamatan Sukajadi,restaurant,,,
KOPI LAY,"PARIS VAN JAVA, JL. SUKAJADI NO. 137 - 139 PARIS VAN JAVA
  MALL, LT. GL - D12B",Kecamatan Sukajadi,restaurant,,,
FORE COFFEE - PARIS VAN JAVA,JL. KARANG TINGGAL GG. H. DURAHMAN NO.3,Kecamatan Sukajadi,restaurant,,,
DOT DRINK LIKE OLD TIMES,"PARIS VAN JAVA, JL.SUKAJADI NO.131-139 PARIS VAN JAVA BANDUNG,
  LT.SKYLEVEL",Kecamatan Sukajadi,restaurant,,,
WINGZ O WINGZ,JL. BKR NO.93,Kecamatan Regol,restaurant,,,
COSMODOG,JL. PASIRWANGI RAYA NO.23,Kecamatan Regol,restaurant,,,
WAROENG BADJIGOER DE KLINIEK,JL. MOCH. TOHA NO.36,Kecamatan Regol,restaurant,,,
SHABAB KEBULI,JL. SUBRATA NO.8,Kecamatan Regol,restaurant,,,
CERITA BURGER,JL. PUNGKUR NO.82C,Kecamatan Regol,restaurant,,,
SATE KHAS SENAYAN PARIS VAN JAVA,"PARIS VAN JAVA, JL. SUKAJADI NO.137-139",Kecamatan Sukajadi,restaurant,,,
ZENBU PVJ,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139",Kecamatan Sukajadi,restaurant,,,
TOM SUSHI PARIS VAN JAVA,"PARIS VAN JAVA MALL, UNIT CL - 05, JL. SUKAJADI NO.131 - 139",Kecamatan Sukajadi,restaurant,,,
JUSTUS STEAK HOUSE,"131-139, PVJ SKY LEVEL SL-C 21 JL.SUKAJADI NO",Kecamatan Sukajadi,restaurant,,,
BAKERZIN PARIS VAN JAVA,JL. SUKAJADI NO.169,Kecamatan Sukajadi,restaurant,,,
A&W,"PARIS VAN JAVA, MALL LT.CL #7, JL. SUKAJADI NO.137-139",Kecamatan Sukajadi,restaurant,,,
PEPPER LUNCH,"PARIS VAN JAVA, PARIS VAN JAVA MALL BLOK RL-A-08, JL. SUKAJADI
  NO. 137 - 139",Kecamatan Sukajadi,restaurant,,,
GYU-KAKU JAPANESE BBQ,"PVJ. RESORT LEVEL, PARIS VAN JAVA, JL. SUKAJADI NO.131-139
  UNIT. # B60",Kecamatan Sukajadi,restaurant,,,
"TORIKU PVJ ""SATE JEPANG"" HALAL",JL. SUKAJADI NO.131-139,Kecamatan Sukajadi,restaurant,,,
BOY SEAFOOD,JL. BKR NO.113,Kecamatan Regol,restaurant,,,
SATE RUMAHAN,GG. MOH. RAMDAN II NO.133,Kecamatan Regol,restaurant,,,
"RAMEN, DIMSUM, & SIOMAY SPB - GRABKITCHEN",JL. MOCH. RAMDAN NO.79,Kecamatan Regol,restaurant,,,
KEDAI 16 CHINESE FOOD HALAL,JL. KEMBAR TIMUR NO.16,Kecamatan Regol,restaurant,,,
BIG BURGER BKR,JL. BKR NO.131A,Kecamatan Regol,restaurant,,,
BAKMIE AYAM UDANG KHAS KALIMANTAN,"LAPANGAN TEGALLEGA GERBANG 6, JL. MOCH. TOHA",Kecamatan Regol,restaurant,,,
BENDOL HOME,GG. H. AHMAD NO.24,Kecamatan Regol,restaurant,,,
CAFE JALIL,"PS. KEMBAR MAS, JL. MOCH. TOHA",Kecamatan Regol,restaurant,,,
WARUNG NASI SUNDA,JL. BABAKAN PRIANGAN I NO.11,Kecamatan Regol,restaurant,,,
HAKKAN DIMSUM,"2JW6+PX5, GG. H. AHMAD",Kecamatan Regol,restaurant,,,
PADMA VEGETA (VEGETARIAN FOODSTUFF SUPPLIER),"BATU MAS NUSA INDAH (MSK SAMPING GRAHA FORTUNA, JL. MENGGER
  GIRANG I NO.BB-11",Kecamatan Regol,restaurant,,,
ADON BAR AND RESTO,JL. PASIRLUYU NO.128-129,Kecamatan Regol,restaurant,,,
NAYUKI DIMSUM,JL. MENGGER GIRANG NO.2,Kecamatan Regol,restaurant,,,
MASAKAN ARAB ENAK DI BANDUNG,JL. MENGGER GIRANG I NO.1,Kecamatan Regol,restaurant,,,
BUFFET TIM138,"3J69+PM8, JL. BKR LKR. SEL.",Kecamatan Regol,restaurant,,,
CUPOLA ID BKR,JL. BKR NO.118B,Kecamatan Regol,restaurant,,,
V AND V,JL. SRIWIJAYA NO.27,Kecamatan Regol,restaurant,,,
CELDI CATERING,JL. SRIGADIS NO.19,Kecamatan Regol,restaurant,,,
DIETPLUS INDONESIA,JL. KEMBAR II NO.14,Kecamatan Regol,restaurant,,,
HG BANDUNG,JL. KEMBAR BARAT NO.43,Kecamatan Regol,restaurant,,,
NYARI COFFEE,JL. SRIWIJAYA NO.98,Kecamatan Regol,restaurant,,,
DAILY CAFETARIA,JL. SRIWIJAYA NO.6A,Kecamatan Regol,restaurant,,,
KEDAI SRIPOHACI 12,JL. SRIPOHACI NO.12,Kecamatan Regol,restaurant,,,
KITA STEAMBOAT & YAKINIKU RAMDHAN BANDUNG,JL. MOCH. RAMDAN NO.63B,Kecamatan Regol,restaurant,,,
TOPPIE BURGER - KEMBAR,JL. KEMBAR BARU NO.14A,Kecamatan Regol,restaurant,,,
WARUNG NASI IBU RESMI,JL. BKR NO.125,Kecamatan Regol,restaurant,,,
FRIED CHICKEN KRENCHISE,"3J46+C28, JL. KEMBAR INDAH",Kecamatan Regol,restaurant,,,
OBOT FRIED CHICKEN,3J65+VFV,Regol,restaurant,80609.0,4.74,17006.12
OK CHICKEN,"3J56+XX9, JL. KEMBAR BARU",Kecamatan Regol,restaurant,,,
CHAN'Z BURGER,JL. MOCH. TOHA NO.155,Kecamatan Regol,restaurant,,,
RUMAH MAKAN WENDY SAIYO,3J54+VQ2,Regol,restaurant,80609.0,4.74,17006.12
H 234 DIN AREA !!!,JL. H. SAMSUDIN NO.32,Kecamatan Regol,restaurant,,,
DIERNÜ COFFEE & MEAL,JL. KOTABARU RAYA NO.32,Kecamatan Regol,restaurant,,,
BUMI SUNDA RESTO,JL. BKR NO.184 NO. 182,Kecamatan Regol,restaurant,,,
ZUPA ZUPA ORANGE,JL. MOCH. TOHA NO.58,Kecamatan Regol,restaurant,,,
BAKMI [SAWAH],JL. SAWAH KURUNG NO.14C,Kecamatan Regol,restaurant,,,
DAKBAL X HOT OPPA,JL. SAWAH KURUNG NO.21,Kecamatan Regol,restaurant,,,
NICE BURGER,JL. H. SAMSUDIN NO.1,Kecamatan Regol,restaurant,,,
SEBLAK DAN KEDAI ROO TINN (JUICE ),"RUMAH ABU YG ADA BANNER JUS BIRU DAN GEROBAK BIRU BESAR, JL.
  OTTO ISKANDAR DINATA GG. TEGALLEGA NO.541A",Kecamatan Regol,restaurant,,,
FFC FRIED CHICKEN,"JL. TERUSAN SAWAH KURUNG IV JL. KOMP. PLN CIATEUL III NO.278,
  RT.002/RW.009",Kecamatan Regol,restaurant,,,
AYAM GEPREK CNC,JL. KOTABARU III NO.2,Kecamatan Regol,restaurant,,,
KANTIN RAI JL. SAWAH KURUNG,JL. SAWAH KURUNG IV NO.8,Kecamatan Regol,restaurant,,,
PANCAKE DURIAN ASALI MEDAN,JL. MOCH. RAMDAN NO.74,Kecamatan Regol,restaurant,,,
RAMEN JUARA,"3J95+2CF, JL. H. SAMSUDIN",Kecamatan Regol,restaurant,,,
ETSU RAMEN,JL. IBU INGGIT GARNASIH NO.5/20,Kecamatan Astanaanyar,restaurant,,,
SEBLAK MUNOS,JL. KOTABARU RAYA NO.15,Kecamatan Regol,restaurant,,,
WARUNG NASI TEGAL 24 JAM,JL. MOCH. RAMDAN NO.7,Kecamatan Regol,restaurant,,,
SOLARIA - PLAZA PARAHYANGAN,JL. DALEM KAUM NO.54,Kecamatan Regol,restaurant,,,
BAKMI PARAHYANGAN - DALEM KAUM,JL. DALEM KAUM NO.12,Kecamatan Regol,restaurant,,,
CLEMMONS 3,"F3 PASARAYA KEPATIHAN, JL. KEPATIHAN, NO. 18, BALONG GEDE,
  REGOL, 40251 BANDUNG, INDONESIA",Kecamatan Regol,restaurant,,,
CALIFORNIA FRIED CHICKEN KINGS,JL. KEPATIHAN NO.19,Kecamatan Regol,restaurant,,,
A & W RESTORAN KHAS AMERIKA,JL. KEPATIHAN NO.11-17,Kecamatan Regol,restaurant,,,
IGA BAKAR EKO,"F3 PASARAYA KEPATIHAN, JL. KEPATIHAN, NO. 18, BALONG GEDE,
  REGOL, 40251 BANDUNG, INDONESIA",Regol,restaurant,80609.0,4.74,17006.12
MCDONALD'S - THE KING'S,"KING'S PLAZA BANDUNG, JL. KEPATIHAN NO.11-17",Kecamatan Regol,restaurant,,,
CHICKEN DINNER FOOD,HALTE LENGKONG BESAR SDN LENGKONG,Kecamatan Regol,restaurant,,,
MISS HEALTHY FOOD,"KOMPLEK GRIYA BANDUNG ASRI, JL. LENGKONG TENGAH I BLOK B 231,
  RT.07/RW.13",Kecamatan Regol,restaurant,,,
SUKI SOBA RESTAURANT,JL. KEPATIHAN NO.18,Kecamatan Regol,restaurant,,,
RUMAH MAKAN PADANG USAHA BUNDA,"JALAN DALEM KAUM NO.48-52, BASEMENT MD PLAZA",Kecamatan Regol,restaurant,,,
CANARY PIZZA HOUSE,JL. KEPATIHAN NO.10A,Kecamatan Regol,restaurant,,,
YO RAMEN KEPATIHAN,JL. KEPATIHAN NO.18,Kecamatan Regol,restaurant,,,
MAKAN DI RUMAH,JL. SASAK GANTUNG NO.29,Kecamatan Regol,restaurant,,,
AGJ – AYAM GEPREK JOGJA RAMDAN,JL. MOCH. RAMDAN NO.37,Kecamatan Regol,restaurant,,,
RIRIS HOT CHICKEN,JL. PASIR SALAM III NO.23,Kecamatan Regol,restaurant,,,
KELUARGA OJOL JAWA (KOJA),JL. BKR NO.96,Kecamatan Regol,restaurant,,,
ENALICIOUZ COFFEE DESSERT PASTA,JL. KEMBAR TIMUR IV NO.22 A,Kecamatan Regol,restaurant,,,
MY DIMSUM PASIR SALAM,JL. PASIR SALAM VI NO.5,Kecamatan Regol,restaurant,,,
YOSHINOYA GRAND YOGYA KEPATIHAN BANDUNG,GRAND YOGYA KEPATIHAN JL. DEWI SARTIKA NO.18,Kecamatan Regol,restaurant,,,
BAR AREA98,JL. DEWI SARTIKA NO.53,Kecamatan Regol,restaurant,,,
FOODCOURT ALUN ALUN BANDUNG,JL. ASIA AFRIKA NO.78,Kecamatan Regol,restaurant,,,
KAYON PATISSERIE,JL. JEMBATAN BARU NO.31-33,Kecamatan Regol,restaurant,,,
CHATIME - YOGYA KEPATIHAN BANDUNG,JL. DEWI SARTIKA NO.16,Kecamatan Regol,restaurant,,,
WARUNG NASI ALAM SUNDA,JL. OTTO ISKANDAR DINATA NO.267,Kecamatan Regol,restaurant,,,
WARUNG NASI IBU IMAS,JL. BALONGGEDE NO.67 / 48 / 38 / 93,Kecamatan Regol,restaurant,,,
SOLARIA KING'S SHOPPING CENTER,"SOLARIA KINGS SHOPPING CENTER, JL. KEPATIHAN NO.17",Kecamatan Regol,restaurant,,,
PIZZA HUT RESTORAN - KING PLAZA,JL.KEPATIHAN NO.11-17 KING PLAZA BANDUNG LT.GF UNIT GF-09A,Regol,restaurant,80609.0,4.74,17006.12
MIMI CUCU DI TERAS,JL. PASUNDAN NO.48,Kecamatan Regol,restaurant,,,
PORK SATAY POINT,JL. PUNGKUR NO.139A,Kecamatan Regol,restaurant,,,
MCDONALD'S - CIBIRU,JL. RAYA CIPADUNG NO.310,Kecamatan Panyileukan,restaurant,,,
WARUNG NASI IBU SHANTY,JL. A.H. NASUTION NO.455,Kecamatan Panyileukan,restaurant,,,
DJ RESTO,JL. RAYA CIPADUNG NO.302,Kecamatan Panyileukan,restaurant,,,
MAKANAN BANDUNG,JL. A.H. NASUTION NO.1,Kecamatan Panyileukan,restaurant,,,
ISTIMEVVA CATERING BANDUNG,GRAHA BATU KARANG PESONA CLUSTER 2 NO. 104,Kecamatan Rancasari,restaurant,,,
ARABIAN KEBAB,JL. CIPAMOKOLAN NO.34,Kecamatan Rancasari,restaurant,,,
SHIHO ASIAN FOOD,"JL. RIUNG BANDUNG RAYA, RT.07/RW.08",Kecamatan Rancasari,restaurant,,,
D'CHICK FRIED CHICKEN DEPO BANGUNAN,JL. PARAKAN SAAT I NO.16,Kecamatan Rancasari,restaurant,,,
FOODCOURT RANDY,JL. CIPAMOKOLAN NO.222,Kecamatan Rancasari,restaurant,,,
JAVA CREPES,"3MCC+F84, I, JL. CIPAMOKOLAN KOLOT",Kecamatan Rancasari,restaurant,,,
MOMMY DELIVERY ORDER,"PESONA CIWASTRA VILLAGE BLOK I NO 1, JL RAYA CIWASTRA,
  MEKARJAYA, RANCASARI",Kecamatan Rancasari,restaurant,,,
ARASSO,JL. BKR NO.100,Kecamatan Regol,restaurant,,,
DESTINY CATERING BANDUNG,JL. SRIMAHI NO.8,Kecamatan Regol,restaurant,,,
FRIENDS SUNDA RESTO,JL. BKR NO.85,Kecamatan Regol,restaurant,,,
KANTIN DAPUR AMBU,JL. PASIR SALAM,Kecamatan Regol,restaurant,,,
TUMMY'S TACO MEXICAN CUISINE BANDUNG,JL. PASIR SALAM VIII NO.1,Kecamatan Regol,restaurant,,,
MAMMAM.CO.ID,"CIPADUNG KIDUL, KEC. PANYILEUKAN, KOTA BANDUNG, JAWA BARAT
  40614",Kecamatan Panyileukan,restaurant,,,
SUSHI HOUSE,KOMP. BUMI PANYILEUKAN NO.G16 NO.22,Kecamatan Panyileukan,restaurant,,,
EAT RICE,"JL. TERATAI VII NO.11, RT.04/RW.12",Kecamatan Panyileukan,restaurant,,,
KEDAI BISTRO,PANYILEUKAN ASRI RESIDENCE NO. D5,Kecamatan Panyileukan,restaurant,,,
NOMNOM CHICKEN BARBEQUE AND CHEESE,"SEBRANG PEGADAIAN, JL. RAYA PANYILEUKAN NO.7 BLOK B6",Kecamatan Panyileukan,restaurant,,,
UFO BURGER STARTUP BANDUNG,KOMP. BUMI PANYILEUKAN G7 NO.16,Kecamatan Panyileukan,restaurant,,,
MIMA_DIMSUM.ID,"JL. PANGARITAN, UTARA NO NO.40KEL, RT./002/RW./007",Kecamatan Panyileukan,restaurant,,,
POJOK TILU TILU,JL. MEKAR MULYA,Kecamatan Panyileukan,restaurant,,,
HOKBEN - TRANSMART CIPADUNG,"TRANSMART, JL. A.H. NASUTION NO.12",Kecamatan Panyileukan,restaurant,,,
A'CHICK FRIED CHICKEN BY PUTRI HANA AISHA,JL. SINDANG SARI 2 NO.1,Kecamatan Panyileukan,restaurant,,,
RAMEN RYU,"3PG3+2GR, JL. MEKAR MULYA",Panyileukan,restaurant,40772.0,5.31,7678.34
SHIFU RAMEN,"SHIFU RAMEN, JL. A.H. NASUTION NO.252",Kecamatan Panyileukan,restaurant,,,
SO.BAR,3P97+294,Panyileukan,restaurant,40772.0,5.31,7678.34
DEN'S CAFE,JL. A.H. NASUTION NO.116,Kecamatan Panyileukan,restaurant,,,
CAFE COD 344,JL. A.H. NASUTION NO.344,Kecamatan Panyileukan,restaurant,,,
WARUNG COFFEE BPK. IRFAN IBU SRY,JL. SOEKARNO HATTA NO.853,Kecamatan Panyileukan,restaurant,,,
DELICIOUS CHICKEN,"3MWG+88Q, JL. A.H. NASUTION",Kecamatan Mandalajati,restaurant,,,
RESTO KELUARGA,JL. A.H. NASUTION NO.23,Kecamatan Mandalajati,restaurant,,,
CAFE & RESTO 19,JL. PASIR IMPUN NO.33A,Kecamatan Mandalajati,restaurant,,,
KEDAI ORANGE,JL. CIKADUT NO.71,Kecamatan Mandalajati,restaurant,,,
ARM COFFEE & DAPOER TEH ICA,JL. PATAMON NO.7,Kecamatan Mandalajati,restaurant,,,
MASAKAN KHAS SUNDA BU IDA,JL. SUKAASIH RAYA JL. TARUNA RAYA NO.49A,Kecamatan Mandalajati,restaurant,,,
MAMAM SUKI AND GRILL,JL. SUKAASIH V NO.130,Kecamatan Mandalajati,restaurant,,,
LET’S GO MEAT!,JL. SUKAASIH IV NO.31,Kecamatan Mandalajati,restaurant,,,
RUMAH IBON,GG. H. BAJOERI NO.229,Kecamatan Mandalajati,restaurant,,,
SERIBU SATU DIMSUM,JL. ARCAMANIK NO.6,Kecamatan Mandalajati,restaurant,,,
SUEVESS JIYAYSH CATERING,"JL. RAYA PANYILEUKAN F2 NO.23, RW.RT1/5",Kecamatan Panyileukan,restaurant,,,
ELFA CATERING,"JL. BUMI PANYILEUKAN, BLOK P6 NO. 30, KOMPLEK BUMI PANYILEUKAN",Kecamatan Panyileukan,restaurant,,,
WARUNG NASI WICIPI PANYILEUKAN,KOMP. BUMI PANYILEUKAN JL. RAYA PANYILEUKAN NO.1A BLOK D5,Panyileukan,restaurant,40772.0,5.31,7678.34
DE'RIO COFFE,JL. MANDALA KOMPLEK TAMAN CIPADUNG INDAH NO.49,Kecamatan Panyileukan,restaurant,,,
SEBELAS NOL LIMA COFFEE,"3PV4+44X, BLK. M, RT.05/RW.11",Kecamatan Panyileukan,restaurant,,,
DIMSUM JAYA,JL. K.H. AHMAD DAHLAN NO.100,Kecamatan Lengkong,restaurant,,,
DIMSUM KOE,JL. MARTANEGARA NO.72,Kecamatan Lengkong,restaurant,,,
EAT DIMSUM YUKK,JL. KLININGAN NO.3,Kecamatan Lengkong,restaurant,,,
FOODPEDIA BANDUNG,JL. BUAH BATU NO.195B,Kecamatan Lengkong,restaurant,,,
BASO ACI JOMBLO BUAH BATU,JL. KLININGAN NO.18,Kecamatan Lengkong,restaurant,,,
PARADISE RESTAURANT - PELAJAR PEJUANG,JL. PELAJAR PEJUANG 45 NO.82,Kecamatan Lengkong,restaurant,,,
KITCHEN FUSION,JL. REOG,Kecamatan Lengkong,restaurant,,,
TUMPENG BANDUNG,"KOMPLEK CITY GARDEN, RESIDENCE B-1",Kecamatan Mandalajati,restaurant,,,
BARBEQUE,"JL. JAMARAS III, RT.03/RW.02",Kecamatan Mandalajati,restaurant,,,
KARIM KATERING,JL. MANDALA II NO.58,Kecamatan Mandalajati,restaurant,,,
AQIQAH DOMBA DOMBI,"SEBELAH TOKO BESI, JL. CIKADUT NO.4B, RT.001/RW.2",Kecamatan Mandalajati,restaurant,,,
NYOUPPANG BANDUNG,JL. ATPUT II NO.13,Kecamatan Mandalajati,restaurant,,,
LIKE CHICKEN,JL. JATIHANDAP NO.37,Kecamatan Mandalajati,restaurant,,,
AUFA'S KITCHEN,KOMP THE GREEN CITY VIEW BLOK C22,Kecamatan Mandalajati,restaurant,,,
KANTIN MAMA MIA,"JL.ABDUL HAMID KOMP.CITY GARDEN RECIDENCE, BLOK D46,
  RT.08/RW.03",Mandalajati,restaurant,73956.0,4.8,15407.5
SI NENGNONG FOOD,JL. A.H. NASUTION NO.105,Kecamatan Mandalajati,restaurant,,,
PASTA 18 TOKO,JL. TRIPANG NO.18,Kecamatan Lengkong,restaurant,,,
KADATUAN KOFFIE,JL. KARAWITAN NO.48,Kecamatan Lengkong,restaurant,,,
SINCERE HOMEMADE,JL. KLININGAN NO.7A,Kecamatan Lengkong,restaurant,,,
BURGER-REX,JL. MARTANEGARA NO.102,Kecamatan Lengkong,restaurant,,,
KEPITING SI BOY,JL. PALASARI NO.45,Kecamatan Lengkong,restaurant,,,
ACE HARDWARE BUAH BATU,JL. BUAH BATU NO.165,Kecamatan Lengkong,restaurant,,,
SPREKKEN | CAFÉ & RESTAURANT,JL. BANGRENG NO.3,Kecamatan Lengkong,restaurant,,,
DENHAAG KLAPPERTAART PUSAT,JL. BANGRENG NO.3,Kecamatan Lengkong,restaurant,,,
KUMAW RAMEN - BUAH BATU,JL. KLININGAN NO.2,Kecamatan Lengkong,restaurant,,,
ALISSHA COFFEE & FRIENDS,JL. MATRAMAN NO.15,Kecamatan Lengkong,restaurant,,,
NUMIS CAFE,JL. KARAWITAN NO.34,Kecamatan Lengkong,restaurant,,,
BELAH DOEREN BUAH BATU,JL. BUAH BATU NO.183 - 185,Kecamatan Lengkong,restaurant,,,
DIMSUM TARA BANDUNG,JL. RAJAMANTRI KULON NO.14,Kecamatan Lengkong,restaurant,,,
NARIPAN DIMSUM,JL. KARAWITAN NO.119,Kecamatan Lengkong,restaurant,,,
YU DIMSUM,"AHHANET, JL. RAJAMANTRI KIDUL NO.C-11",Kecamatan Lengkong,restaurant,,,
BEST DIMSUM,"JALAN KAYU AGUNG C-11, BUAH BATU, TURANGGA, LENGKONG, KOTA
  BANDUNG, JAWA",Kecamatan Lengkong,restaurant,,,
WINGSTOP BUAH BATU,JL. BUAH BATU NO.235,Kecamatan Lengkong,restaurant,,,
TARA BUNGA RESTO & LIVE MUSIC,JL. LODAYA NO.117,Kecamatan Lengkong,restaurant,,,
RESTO PADANG,JL. MASKUMAMBANG NO.33,Kecamatan Lengkong,restaurant,,,
ARMENTI COFFEE HOUSE,"ARMENTI COFFEE HOUSE, JL. REOG NO.6A",Kecamatan Lengkong,restaurant,,,
LANGIT KITCHEN,JL. K.H. AHMAD DAHLAN NO.51,Kecamatan Lengkong,restaurant,,,
NASI BRIYANI DAN MIE AYAM MAS ANTO,JL. WARTAWAN 2 NO.6,Kecamatan Lengkong,restaurant,,,
KAMPRING,JL. MASKUMAMBANG NO.39,Kecamatan Lengkong,restaurant,,,
MIEWON.ID,JL. KLININGAN NO.1,Kecamatan Lengkong,restaurant,,,
KEBAB KEBABRA,3J5H+46W,Lengkong,restaurant,71000.0,5.91,12013.54
DE'CHICK FRIED CHICKEN,"UKM ALFAMART, JL. KARAWITAN NO.64",Kecamatan Lengkong,restaurant,,,
SWIWIKOE WINGS,JL. KARAWITAN NO.24,Kecamatan Lengkong,restaurant,,,
BREAD.CO,JL. BUAH BATU A NO.173,Kecamatan Lengkong,restaurant,,,
CARBS & CO,JL. REBANA NO.9,Kecamatan Lengkong,restaurant,,,
DAILY FIT MEALS BANDUNG,JL. KARAWITAN NO.36 A,Kecamatan Lengkong,restaurant,,,
HALLAA,JL. REOG,Kecamatan Lengkong,restaurant,,,
STARBUCKS EXPERIENCE BAR BUAH BATU,JL. BUAH BATU NO.159,Kecamatan Lengkong,restaurant,,,
RICHBEAN COFFEE & EATERY - BANDUNG,JL. KARAWITAN NO.24A,Kecamatan Lengkong,restaurant,,,
MADAME SARI RESTAURANT BUAH BATU,JL. BUAH BATU NO.165 A,Kecamatan Lengkong,restaurant,,,
HOKBEN - BUAH BATU,JL. BUAH BATU NO.229,Kecamatan Lengkong,restaurant,,,
