nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file
KIDDROCK CLOTHING CO.,JL. LENGKONG BESAR NO. 97,Lengkong,tourism_shopping,-6.925875817649589,107.61252784908584,2021,cleaned_objek_wisata_belanja.csv
3SECOND STORE BUAH BATU,JL. BUAH BATU,Lengkong,tourism_shopping,-6.944854920581903,107.63031711633866,2021,cleaned_objek_wisata_belanja.csv
DAUKY,JL. SUKARAJA BLOK CRA NO. 44,Bandung Wetan,tourism_shopping,-6.8901307387641575,107.57302805714424,2021,cleaned_objek_wisata_belanja.csv
CENTRAL JACKET,JL. RAJAWALI TIMUR NO. 1,Andir,tourism_shopping,-6.916206606255811,107.58988790721855,2021,cleaned_objek_wisata_belanja.csv
ORGOGLIO STORE,PERBATASAN JL PALEDANG - MALEBER NO. 166,Bandung Wetan,tourism_shopping,-6.902504785025195,107.57100353765324,2021,cleaned_objek_wisata_belanja.csv
RANGKAS,JL. SUNDA,Lengkong,tourism_shopping,-6.925905284042102,107.61677933827728,2021,cleaned_objek_wisata_belanja.csv
MUSCA INDONESIA,KOMPLEK TULIP PERMAI BLOK 2 NO. 16,Batununggal,tourism_shopping,-6.916323994439619,107.63893539511588,2021,cleaned_objek_wisata_belanja.csv
JAWARA BUIAO STORE,GG KEBONGPISANG,Sumur Bandung,tourism_shopping,-6.916633031760908,107.61910128931544,2021,cleaned_objek_wisata_belanja.csv
MI-YO,JL. SOKA NO. 01,Sumur Bandung,tourism_shopping,-6.9147239522357165,107.62606752573735,2021,cleaned_objek_wisata_belanja.csv
BANDUNG APPARELS,JL.JEND. SUDIRMAN NO. 695,Andir,tourism_shopping,-6.916552655801707,107.57495972786948,2021,cleaned_objek_wisata_belanja.csv
FLICKL CLOTHING,MARGAHAYU UTARA,Babakan Ciparay,tourism_shopping,-6.950258819239871,107.5788841248896,2021,cleaned_objek_wisata_belanja.csv
SAGE BANDUNG,MERDEKA,Sumur Bandung,tourism_shopping,-6.916127645667325,107.62061352151945,2021,cleaned_objek_wisata_belanja.csv
MILOSMILES MINISTORE,JL. SULANJANA NO. 11,Bandung Wetan,tourism_shopping,-6.899733245898273,107.6112075664318,2021,cleaned_objek_wisata_belanja.csv
MAGMA APPAREL,JL. GAMELAN NO. 10,Lengkong,tourism_shopping,-6.9349192653071965,107.63036673236552,2021,cleaned_objek_wisata_belanja.csv
STORE OWNERS WORLDWIDE,JL. PUDAK NO. 11,Sumur Bandung,tourism_shopping,-6.913827248485041,107.6285355237066,2021,cleaned_objek_wisata_belanja.csv
TOKO SUNDA OKEY,JL. JEND. AHMAD YANI NO. 77,Sumur Bandung,tourism_shopping,-6.916997588778527,107.6191727854579,2021,cleaned_objek_wisata_belanja.csv
BROMEDISTRICT STORE,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.917004230053431,107.62089215395112,2021,cleaned_objek_wisata_belanja.csv
3/4 7 N,JL. TRUNOJOYO NO. 4,Bandung Wetan,tourism_shopping,-6.906181225988295,107.61291577604646,2021,cleaned_objek_wisata_belanja.csv
FLO DISTRO,JL. TRUNOJOYO NO. 6,Bandung Wetan,tourism_shopping,-6.90597885658496,107.61306597962673,2021,cleaned_objek_wisata_belanja.csv
BEUTIK COMPANY,JL. JAWA NO.4,Sumur Bandung,tourism_shopping,-6.9152776911481055,107.61683646846664,2021,cleaned_objek_wisata_belanja.csv
DSVN SHOP,BLOK O JL. TAMAN KOPO INDAH I NO. 27,Bandung Wetan,tourism_shopping,-6.965416438291629,107.57035419678864,2021,cleaned_objek_wisata_belanja.csv
LIFE CLOTHING,RUKO LINGGAHARA D-13 JL. SADANG,Bandung Wetan,tourism_shopping,-6.962732725481735,107.5695387840497,2021,cleaned_objek_wisata_belanja.csv
DNA CLOTHING STORE,JL. KUBANG UTARA 2 NO. 6D,Coblong,tourism_shopping,-6.885903756232404,107.6174096475972,2021,cleaned_objek_wisata_belanja.csv
SHUDAMI,JL. VIJAYAKUSUMA II NO. 19,Sumur Bandung,tourism_shopping,-6.915072796311031,107.619781000513,2021,cleaned_objek_wisata_belanja.csv
INFLAME REBORN OFFLINE STORE,JL. LENGKONG BESAR NO. 81B,Lengkong,tourism_shopping,-6.92538810311176,107.61251772142114,2021,cleaned_objek_wisata_belanja.csv
MYPRIDE FS&CO. HQ,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.91665539867841,107.62084666413864,2021,cleaned_objek_wisata_belanja.csv
JON-GEN STORE,JL. JEND. AHMAD YANI NO. 247,Bandung Wetan,tourism_shopping,-6.914855277740896,107.63043009311998,2021,cleaned_objek_wisata_belanja.csv
P-CLOTHES STORE BANDUNG,JL. KAWALUYAAN INDAH I NO. 37,Buahbatu,tourism_shopping,-6.933386612862018,107.6593540111671,2021,cleaned_objek_wisata_belanja.csv
CLASSICONESIA,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.91576833490871,107.62097901040389,2021,cleaned_objek_wisata_belanja.csv
BADHABIT HQ,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.917095231405648,107.6209633024036,2021,cleaned_objek_wisata_belanja.csv
REVATI INDONESIA,JL. GUDANG SELATAN NO. 88,Sumur Bandung,tourism_shopping,-6.916167274209776,107.61958692291358,2021,cleaned_objek_wisata_belanja.csv
PORTEE GOODS,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.916827758016169,107.62059421698063,2021,cleaned_objek_wisata_belanja.csv
PICK AND CHOOSE HQ,JL. GUDANG SELATAN NO. 22B,Sumur Bandung,tourism_shopping,-6.916947108642474,107.62080908899598,2021,cleaned_objek_wisata_belanja.csv
PANTJA BUANA KARYA ANAK NAGARI,JL. BABAKAN IRIGASELATAN NO. 19,Bojongloa Kaler,tourism_shopping,-6.928636705768225,107.59144046340226,2021,cleaned_objek_wisata_belanja.csv
ATTITUDE ORIGINAL OFFICE,JL. CIGURIANG NO. 17,Regol,tourism_shopping,-6.923996506259132,107.60465133280562,2021,cleaned_objek_wisata_belanja.csv
ST KNITS,JL. SOKA NO. 24,Sumur Bandung,tourism_shopping,-6.915768461625117,107.6276373746391,2021,cleaned_objek_wisata_belanja.csv
GRIMLOC STORE,JL. KARTINI NO. 21,Sumur Bandung,tourism_shopping,-6.91775719841186,107.61563940612427,2021,cleaned_objek_wisata_belanja.csv
REDEL OUTFIT,JL. GEGERKALONG TONGGOH I NO. 20,Sukajadi,tourism_shopping,-6.864356810595863,107.58015703797696,2021,cleaned_objek_wisata_belanja.csv
RIDERS AND RULES,JL. BENGAWAN NO. 45,Bandung Wetan,tourism_shopping,-6.910495200259682,107.62920356487072,2021,cleaned_objek_wisata_belanja.csv
KAULA INDONESIA,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,-6.916630195316314,107.62090590169946,2021,cleaned_objek_wisata_belanja.csv
GALERI IVA,JL. DEDERUK NO. 6,Coblong,tourism_shopping,-6.898005974802493,107.62085494793784,2021,cleaned_objek_wisata_belanja.csv
TORCH SHOWROOM,JL. LASWI NO. 1M,Batununggal,tourism_shopping,-6.916343592260752,107.63072728304569,2021,cleaned_objek_wisata_belanja.csv
AND-ALIVE APPAREL,KOMPLEKS BOUGENVILLE BLOK A 14 JL. PURWAKARTA,Antapani,tourism_shopping,-6.915409914036276,107.65391235518888,2021,cleaned_objek_wisata_belanja.csv
TRIPLE A TECHNICAL APPAREL,JL. KADIPATEN 4 NO. 7,Antapani,tourism_shopping,-6.9173271168021655,107.65605806706807,2021,cleaned_objek_wisata_belanja.csv
HAMMERSTOUT FLAGSHIP STORE,JL. SARI INDAH RAYA NO. 19,Kiaracondong,tourism_shopping,-6.921331810435873,107.6539981379118,2021,cleaned_objek_wisata_belanja.csv
PRIDE N JOY,JL. JENDERAL AHMAD YANI NO. 821,Cibeunying Kidul,tourism_shopping,-6.904411758101002,107.65062598876844,2021,cleaned_objek_wisata_belanja.csv
ALLVANE SPORTS APPAREL,JL. SULAKSANA BARU I NO. 7,Cibeunying Kidul,tourism_shopping,-6.904748136418572,107.64983121298874,2021,cleaned_objek_wisata_belanja.csv
HEFABI APPAREL STORE AND BLACKHAWK PANTS SHOP,JL. SUKAPURA NO. 12,Kiaracondong,tourism_shopping,-6.926020516571461,107.65097179659551,2021,cleaned_objek_wisata_belanja.csv
JAVA JONES APPAREL,JL. IR. H. JUANDA NO. 364,Coblong,tourism_shopping,-6.873081367483839,107.61746305530178,2021,cleaned_objek_wisata_belanja.csv
WEHAVEFAN CYCLING APPAREL,JL. CIGADUNG SELATAN NO. 80B,Cibeunying Kaler,tourism_shopping,-6.880655969117218,107.625843756469,2021,cleaned_objek_wisata_belanja.csv
KABOA APPAREL,JL. IMAM BONJOL NO. 48,Coblong,tourism_shopping,-6.888803224619253,107.6150610484772,2021,cleaned_objek_wisata_belanja.csv
FREE N STYLE,JL. DIPATIUKUR NO. 57,Coblong,tourism_shopping,-6.890514206050117,107.61653993240158,2021,cleaned_objek_wisata_belanja.csv
BLACKSHOES,JL. DIPATIUKUR NO. 66,Coblong,tourism_shopping,-6.890860375124786,107.61721584950384,2021,cleaned_objek_wisata_belanja.csv
WHITE SHER,JL. DIAPTIUKUR NO. 68D,Coblong,tourism_shopping,-6.890471601886559,107.6169047126831,2021,cleaned_objek_wisata_belanja.csv
F.A.U.S.T.,JL. DIPATIUKUR NO. 49B,Coblong,tourism_shopping,-6.891049104359702,107.61698652084404,2021,cleaned_objek_wisata_belanja.csv
YOUTHLAND,JL. DIPATIUKUR NO. 68,Coblong,tourism_shopping,-6.890417346776556,107.61689155358928,2021,cleaned_objek_wisata_belanja.csv
DUSKYSTORE,JL. DIAPTIUKUR NO. 72,Coblong,tourism_shopping,-6.889496002081354,107.61632233959162,2021,cleaned_objek_wisata_belanja.csv
