id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude
7947,32,JAWA BARAT,3273,KOTA BANDUNG,BLACK ROMANTIC,JL. GELAP NYAWANG NO.2,2024,,,,
7948,32,JAWA BARAT,3273,KOTA BANDUNG,WARNAS PRANCIS,JL. GELAP NYAWANG NO.3,2024,,,,
7949,32,JAWA BARAT,3273,KOTA BANDUNG,BEBEK STALLONE,"JL. GELAP NYAWANG NO.12, RW.04",2024,,,,
7950,32,JAWA BARAT,3273,KOTA BANDUNG,AL'S SATAY CORNER,JL. KEBUN BINATANG NO.20,2024,,,,
7951,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM 287,JL. GELAP NYAWANG NO.1,2024,,,,
7952,32,JAWA BARAT,3273,KOTA BANDUNG,KA-DIMSUM ITB,JL. GELAP NYAWANG NO.4,2024,,,,
7953,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM KUY,"KANTIN SBM ITB, JL. GANESA NO.10",2024,,,,
7954,32,JAWA BARAT,3273,KOTA BANDUNG,"FISH BOX, CIUNGWANARA",JL. CIUNGWANARA NO.10A,2024,,,,
7955,32,JAWA BARAT,3273,KOTA BANDUNG,LAUTAN MERAH SEAFOOD,JL. CIKAPAYANG NO.8,2024,,,,
7956,32,JAWA BARAT,3273,KOTA BANDUNG,DAPUR LAUT,"4J45+2Q7, JL. GELAP NYAWANG",2024,,,,
7957,32,JAWA BARAT,3273,KOTA BANDUNG,HALIMUN CAFE,JL. IR. H. JUANDA NO.109,2024,,,,
7958,32,JAWA BARAT,3273,KOTA BANDUNG,CHICKEN WINGS DMJ,JL. KEBUN BINATANG NO.161/56,2024,,,,
7959,32,JAWA BARAT,3273,KOTA BANDUNG,DARI RUMAH CATERING,GG. I NO.E6,2024,,,,
7960,32,JAWA BARAT,3273,KOTA BANDUNG,VILLEDE BAHTEN COFFEE,4J49+QWR,2024,,,,
7961,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG KOPI ID,"JL. CALADI DALAM NO.16, RT.02/RW.09",2024,,,,
7962,32,JAWA BARAT,3273,KOTA BANDUNG,POINT COFFEE,JL. JAPATI NO.1,2024,,,,
7963,32,JAWA BARAT,3273,KOTA BANDUNG,"PADI DISINI KITA KUMPUL BERSAMA DENGAN SUSAH SENANG
  SASAREUNGAN",JL. MERAK NO.11,2024,Sadang Serang,,-6.89803,107.6202651
7964,32,JAWA BARAT,3273,KOTA BANDUNG,SINDANG RERET BANDUNG,JL. SURAPATI NO.53,2024,Pasirlayung,,-6.9005481,107.6526448
