kecamatan,nama_taman,luas
BANDUNG KIDUL,TAMAN H. BARDAN,32
BANDUNG KIDUL,TAMAN GADING 12,25
BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIJERAH I,4794
BANDUNG KULON,TAMAN LINGKUNGAN PERUMNAS CIBUNTU,1370
BANDUNG KULON,TAMAN LINGKUNGAN PERUMAHAN SADANG,545.23
BANDUNG KULON,TAMAN RW.04 KEL. CARINGIN,210
BANDUNG KULON,TAMAN RW.05 KEL. CARINGIN,170
BANDUNG WETAN,STADION SILIWANGI,60576.87
BANDUNG WETAN,TAMAN LALU LINTAS,45600.87
BANDUNG WETAN,GOR SAPARUA,44300
BANDUNG WETAN,LAPANG GASIBU,25962
BANDUNG WETAN,TAMAN CILAKI ATAS,16620
BANDUNG WETAN,TAMAN GEDUNG SATE,16605
BANDUNG WETAN,TAMAN KODYA,13965.89
BANDUNG WETAN,TAMAN PRAMUKA,13845.34
BANDUNG WETAN,TAMAN CILAKI BAWAH I DAN II,9753
BANDUNG WETAN,TAMAN SERAM,9511.23
BANDUNG WETAN,LAPANG SUPRATMAN,9072.75
BANDUNG WETAN,TAMAN CILAKI TENGAH,6487
BANDUNG WETAN,JALUR PRABUDIMUNTUR/SURAPATI,3600
BANDUNG WETAN,TAMAN PKK,2893.7
BANDUNG WETAN,TAMAN MANGGA,2850
BANDUNG WETAN,TAMAN CIUNGWANARA,1943
BANDUNG WETAN,JALUR HIJAU CIKAPAYANG,1800
BANDUNG WETAN,TAMAN CEMPAKA (TAMAN FOTOGRAFI),1785
BANDUNG WETAN,TAMAN LAPANG SALAM,1685
BANDUNG WETAN,TAMAN PASUPATI,1539
BANDUNG WETAN,TAMAN DR. SLAMET,1521.7
BANDUNG WETAN,TAMAN ANGGREK/BENGAWAN (TAMAN SUPER HERO),1425
BANDUNG WETAN,TAMAN GEMPOL,1245.5
BANDUNG WETAN,TAMAN CITARUM,1102.67
BANDUNG WETAN,JALUR HIJAU JALAN CILIWUNG,936
BANDUNG WETAN,TAMAN RANGGA MALELA,920.9
BANDUNG WETAN,TAMAN WIRA ANGUN-ANGUN,918
BANDUNG WETAN,JALUR HIJAU TAMANSARI,908.1
BANDUNG WETAN,TAMAN CILAKI,893.5
BANDUNG WETAN,TAMAN TRUNOJOYO,850.56
BANDUNG WETAN,TAMAN CIKAPAYANG/BADAK SINGA,846.34
BANDUNG WETAN,TAMAN GAJAH LUMANTUNG,807.05
BANDUNG WETAN,TAMAN NYLAND,783.75
BANDUNG WETAN,TAMAN RASAMALA,756.99
BANDUNG WETAN,TAMAN JL. DIPONEGORO - JL. TRUNOJOYO,709.18
BANDUNG WETAN,TAMAN CIBEUNYING BANK NISP,688.25
BANDUNG WETAN,TAMAN CIPUNAGARA,688
BANDUNG WETAN,TAMAN CIBEUNYING PARK,488.25
BANDUNG WETAN,JALUR HIJAU JALAN CITARUM,436.66
BANDUNG WETAN,TAMAN CENDANA,392.47
BANDUNG WETAN,TAMAN SKANDA/GANESHA,312.8
BANDUNG WETAN,TAMAN SKATE PARK,300
BANDUNG WETAN,TAMAN WASTUKANCANA/TAMANSARI,280
BANDUNG WETAN,TAMAN DKK SUPRATMAN,264.5
BANDUNG WETAN,BAK BUNGA NANGKASUNI,247
BANDUNG WETAN,TAMAN DEPAN GALERIA BIP SUMATERA/SULAWESI,200.9
BANDUNG WETAN,TAMAN PROGO,172
BANDUNG WETAN,TAMAN WASKA/PURNAWARMAN (TEXAS),144.9
BANDUNG WETAN,TAMAN WASKA PANGLIMA,137.4
BANDUNG WETAN,PULAU JALAN BALUBUR,131.6
BANDUNG WETAN,TAMAN WASKA/PAJAJARAN (MACAN),127.5
BANDUNG WETAN,PULAU JALAN TAMANSARI/UNISBA,127.1
BANDUNG WETAN,TAMAN BALUBUR/TAMANSARI,117.3
BANDUNG WETAN,TAMAN WASKA/TAMANSARI,81.49
BANDUNG WETAN,TAMAN SALAM PUSKESMAS,63.5
BANDUNG WETAN,PULAU JALAN SENTOT,16.04
BANDUNG WETAN,TAMAN FILM,-
BANDUNG WETAN,TAMAN MALUKU,24023.24
BATUNUNGGAL,STADION PERSIB,23005.05
BATUNUNGGAL,TAMAN ANYER,2814
BATUNUNGGAL,TAMAN KEBON WARU I,1901.2
BATUNUNGGAL,TAMAN SALENDRO TIMUR,472
BATUNUNGGAL,TAMAN PULAU JALAN GATOT SUBROTO/LASWI,428.4
BATUNUNGGAL,TAMAN PULAU JALAN LASWI,234.4
BATUNUNGGAL,TAMAN KEBON WARU II,234.2
BATUNUNGGAL,BAK BUNGA GATOT SUBROTO/LASWI,84.6
BOJONGLOA KALER,JALUR HIJAU PETA,2464.46
BOJONGLOA KALER,TAMAN KOPO KENCANA,1249.7
BOJONGLOA KALER,TAMAN TRITISAN KENCANA,956
BOJONGLOA KALER,TAMAN RUKO KENCANA,876.82
BOJONGLOA KALER,TAMAN LINGKAR SELATAN/PASIRKOJA,852.25
BOJONGLOA KALER,JALUR HIJAU JAMIKA,820
BOJONGLOA KALER,TAMAN BABAKAN TAROGONG,616
BOJONGLOA KALER,TAMAN PAYUNG KENCANA,605
